tipo,pregunta,respuesta
P1,¿Quién escribió el libro Aknos?,Fulvio Caccia
P1,¿Quién escribió el libro Neues Bewusstsein?,Peter Sloterdijk
P1,¿Quién escribió el libro The Colours of Infinity?,Benoît Mandelbrot
P1,¿Quién escribió el libro The Breuss Cancer Cure?,Rudolf Breuss
P1,¿Quién escribió el libro Uplake?,Spagna
P1,¿Quién escribió el libro Działanie?,Jacek Kuroń
P1,¿Quién escribió el libro Wonderful Words for Writing?,Q25161
P1,¿Quién escribió el libro History of Incas (Hakluyt Society Works Ser .: No 2 Vol 22)?,Pedro Sarmiento de Gamboa
P1,¿Quién escribió el libro Midnight's Children?,Salman Rushdie
P1,¿Quién escribió el libro Dichter im Einsatz?,Dieter Fringeli
P1,¿Quién escribió el libro Lettres de Pierre Martyr Anghiera Relatives Aux découvertes Maritimes des Espagnols et des Portugais?,Pedro Mártir de Anglería
P1,¿Quién escribió el libro Selected exaggerations?,Peter Sloterdijk
P1,¿Quién escribió el libro Der Dorfkaiser?,Paul Sutermeister
P1,¿Quién escribió el libro Vehicles?,Valentino Braitenberg
P1,"¿Quién escribió el libro Delilles ,,Gärten?",Victor Klemperer
P1,¿Quién escribió el libro Bilder meines Lebens?,Peter Ustinov
P1,¿Quién escribió el libro Una grande storia d'amore?,Susanna Tamaro
P1,¿Quién escribió el libro We Can Do I.T. Too?,Nada
P1,¿Quién escribió el libro State of affairs?,Jesús Padilla Gálvez
P1,¿Quién escribió el libro Das Wirken der Seele?,Rudolf Eisler
P1,¿Quién escribió el libro Hitlers Inselwahn?,John Nettles
P1,¿Quién escribió el libro Retour sur l'île?,Viveca Sten
P1,¿Quién escribió el libro Mr. Gwyn & Three Times at Dawn?,Alessandro Baricco
P1,¿Quién escribió el libro Den politisk-satiriske Viktor Rydberg?,Viktor Rydberg
P1,¿Quién escribió el libro Cinzas do passado?,Martin Suter
P1,"¿Quién escribió el libro Adiciones, Apéndice a la postilla?",Bernardino de Sahagún
P1,¿Quién escribió el libro Mitten ins Herz?,Margret Kreidl
P1,¿Quién escribió el libro Um amor feliz?,David Mourão-Ferreira
P1,¿Quién escribió el libro Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika?,Alexander Ziegler
P1,¿Quién escribió el libro Les enjeux du XXIe siècle?,Eric Hobsbawm
P1,¿Quién escribió el libro Due bellissime signore?,Mario Biondi
P1,¿Quién escribió el libro T. J. and the Penalty?,Theo Walcott
P1,"¿Quién escribió el libro Jimmy Flitz, die Schweizermaus?",Roland Zoss
P1,¿Quién escribió el libro Das Meer?,Jan Hoet
P1,¿Quién escribió el libro Honeycomb?,Joanne Harris
P1,¿Quién escribió el libro Hans Eisenmann?,Otto Bauer
P1,¿Quién escribió el libro Contraception and chastity?,Elizabeth Anscombe
P1,¿Quién escribió el libro L'Esprit Saint?,Juan Pablo II
P1,¿Quién escribió el libro La morte condivisa?,Giovanni Franzoni
P1,¿Quién escribió el libro Den flödande lyckan?,Eva Ström
P1,¿Quién escribió el libro Wiersze i obrazki?,Julian Przyboś
P1,¿Quién escribió el libro The continuum companion to anarchism?,Ruth Kinna
P1,¿Quién escribió el libro Green Ring?,Zinaída Guíppius
P1,¿Quién escribió el libro Pájinas escojidas?,Juan Ramón Jiménez
P1,¿Quién escribió el libro Il panno di mastro Gervaso?,Danila Comastri Montanari
P1,¿Quién escribió el libro Une hirondelle ne fait pas le printemps?,Éric-Emmanuel Schmitt
P1,¿Quién escribió el libro Libros de amor?,Juan Ramón Jiménez
P1,¿Quién escribió el libro De reis van de voorganger?,Per Olov Enquist
P1,¿Quién escribió el libro Nach dem Schlussakkord?,Alfred Brendel
P1,¿Quién escribió el libro Brev?,Stig Dagerman
P1,¿Quién escribió el libro Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie?,Carl Amery
P1,"¿Quién escribió el libro Europe, Globalization, and the Coming of the Universal Caliphate?",Bat Ye'or
P1,"¿Quién escribió el libro Tsvantsig yor in Varshever ""Bund""?",Bernard Goldstein
P1,¿Quién escribió el libro Die letzte Nacht?,Karl Kraus
P1,¿Quién escribió el libro Die kleine Märchenreise?,Ulrich Karger
P1,¿Quién escribió el libro We always wore sailor suits?,Susanna Agnelli
P1,¿Quién escribió el libro Regionalismus a internacionalismus v soudobé architektuře?,Friedrich Achleitner
P2,¿De qué país es la persona André Blavier?,Belgium
P2,¿De qué país es la persona Anne Moreau-Vagnon?,France
P2,¿De qué país es la persona Niklaus Brantschen?,Switzerland
P2,¿De qué país es la persona Aline Magnusson?,Sweden
P2,¿De qué país es la persona Felipe González?,Spain
P2,¿De qué país es la persona Pedro Rosa Mendes?,Portugal
P2,¿De qué país es la persona Michael Hainisch?,Austria
P2,¿De qué país es la persona Alda Merini?,Italy
P2,¿De qué país es la persona A. S. Byatt?,United Kingdom
P2,¿De qué país es la persona Albin Körösi?,Spain
P2,¿De qué país es la persona Voltaire?,France
P2,¿De qué país es la persona Arnošt Muka?,Germany
P2,¿De qué país es la persona Andreas Gruschke?,Germany
P2,¿De qué país es la persona Peter Greenaway?,United Kingdom
P2,¿De qué país es la persona Ludwig Fels?,Germany
P2,¿De qué país es la persona Saffron Burrows?,United Kingdom
P2,¿De qué país es la persona Ludwig Renn?,Germany
P2,¿De qué país es la persona Angélica Liddell?,Spain
P2,¿De qué país es la persona Carlo Emilio Gadda?,Italy
P2,¿De qué país es la persona Peter Kern?,Austria
P2,¿De qué país es la persona Bernardo Atxaga?,Spain
P2,¿De qué país es la persona Jean-Baptiste Say?,France
P2,¿De qué país es la persona Bodo Uhse?,France
P2,¿De qué país es la persona Marcel Reich-Ranicki?,Poland
P2,¿De qué país es la persona Alice Ceresa?,Switzerland
P2,¿De qué país es la persona Achille Campanile?,Italy
P2,¿De qué país es la persona Remigiusz Mielcarek?,Poland
P2,¿De qué país es la persona Wilhelm Reich?,Poland
P2,¿De qué país es la persona Thierry Debels?,Belgium
P2,¿De qué país es la persona Andrzej Bursa?,Poland
P2,¿De qué país es la persona Claire Tomalin?,United Kingdom
P2,¿De qué país es la persona Octave Pirmez?,Belgium
P2,¿De qué país es la persona Leopold Staff?,Poland
P2,¿De qué país es la persona Fernando Namora?,Portugal
P2,¿De qué país es la persona Sandra Milo?,Italy
P2,¿De qué país es la persona César Barja?,Spain
P2,¿De qué país es la persona Martin Hürlimann?,Switzerland
P2,¿De qué país es la persona Isaac Bashevis Singer?,Poland
P2,¿De qué país es la persona Jean Libert?,Belgium
P2,¿De qué país es la persona Alfred Kerr?,United Kingdom
P2,¿De qué país es la persona Nada?,Italy
P2,¿De qué país es la persona Giuliana Sgrena?,Italy
P2,¿De qué país es la persona Ferdl Weiss?,Germany
P2,¿De qué país es la persona Emil Beurmann?,Switzerland
P2,¿De qué país es la persona Hildegard Maria Rauchfuß?,Germany
P2,¿De qué país es la persona Egon Kapellari?,Austria
P2,¿De qué país es la persona Gert Jonke?,Austria
P2,¿De qué país es la persona Frans Gunnar Bengtsson?,Sweden
P2,¿De qué país es la persona Carlo Minnaja?,Italy
P2,¿De qué país es la persona Frédéric-Melchior Grimm?,Germany
P2,¿De qué país es la persona Ak Welsapar?,Sweden
P2,¿De qué país es la persona Michał Kamiński?,Poland
P2,¿De qué país es la persona Donald Rooum?,United Kingdom
P2,¿De qué país es la persona Guillermo de Suecia?,Sweden
P2,¿De qué país es la persona Ernst Jandl?,Austria
P2,¿De qué país es la persona Christopher Nolan?,United Kingdom
P2,¿De qué país es la persona Rui Knopfli?,Portugal
P2,¿De qué país es la persona José Nicolás de Azara?,Spain
P2,¿De qué país es la persona Carlos Álvarez-Nóvoa?,Spain
P2,¿De qué país es la persona Ruth Rendell?,United Kingdom
P2,¿De qué país es la persona Alfred Kolleritsch?,Austria
P2,¿De qué país es la persona Pierre-Simon Laplace?,France
P2,¿De qué país es la persona Andreas Mölzer?,Austria
P2,¿De qué país es la persona Lukas Moodysson?,Sweden
P2,¿De qué país es la persona Darren Aronofsky?,Poland
P2,¿De qué país es la persona Arkady Fiedler?,Poland
P2,¿De qué país es la persona Emília Pomar de Sousa Machado?,Portugal
P2,¿De qué país es la persona Vicente Blasco Ibáñez?,Spain
P2,¿De qué país es la persona Hector Berlioz?,France
P2,¿De qué país es la persona Giovanni Comisso?,Italy
P2,¿De qué país es la persona Rudolf Hilferding?,Austria
P2,¿De qué país es la persona Daniel de Roulet?,Switzerland
P2,¿De qué país es la persona Herbert Achternbusch?,Germany
P2,¿De qué país es la persona Luis de Góngora?,Spain
P2,¿De qué país es la persona Francisco López de Zárate?,Spain
P2,¿De qué país es la persona Waltraud Schiffels?,Germany
P2,¿De qué país es la persona Daniel Kehlmann?,Austria
P2,¿De qué país es la persona Rosario Bentivegna?,Italy
P2,¿De qué país es la persona Lars Levi Laestadius?,Sweden
P2,¿De qué país es la persona Imre Kertész?,Germany
P2,¿De qué país es la persona Jean Van Hamme?,Belgium
P2,¿De qué país es la persona Claire Goll?,France
P2,¿De qué país es la persona Giulio Andreotti?,Italy
P2,¿De qué país es la persona Bernt Engelmann?,Poland
P2,¿De qué país es la persona Ernest Candèze?,Belgium
P2,¿De qué país es la persona Esaias Tegnér?,Sweden
P2,¿De qué país es la persona Luís Filipe Thomáz?,Portugal
P2,¿De qué país es la persona Friedrich Engels?,United Kingdom
P2,¿De qué país es la persona Jan Stanisław Skorupski?,Poland
P2,¿De qué país es la persona Sigfrid Siwertz?,Sweden
P2,¿De qué país es la persona Jonas Fränkel?,Switzerland
P2,¿De qué país es la persona Hildegard Gerster-Schwenkel?,Germany
P2,¿De qué país es la persona Count Karl Ludwig von Ficquelmont?,France
P2,¿De qué país es la persona Sebastião da Gama?,Portugal
P2,¿De qué país es la persona Arnaut Daniel?,France
P2,¿De qué país es la persona Otello Profazio?,Italy
P2,¿De qué país es la persona André Bellessort?,France
P2,¿De qué país es la persona Pierre Imhasly?,Switzerland
P2,¿De qué país es la persona Auguste Viatte?,Switzerland
P2,¿De qué país es la persona Pierre-Joseph Proudhon?,France
P3,¿De qué país es el autor del libro Diarió de una ninfomana?,Spain
P3,¿De qué país es el autor del libro Ḳadish la-yeled she-lo nolad?,Germany
P3,¿De qué país es el autor del libro Hanging hill?,United Kingdom
P3,¿De qué país es el autor del libro Murder on the Railways?,United Kingdom
P3,¿De qué país es el autor del libro Basic Income?,Belgium
P3,¿De qué país es el autor del libro Paris?,Belgium
P3,¿De qué país es el autor del libro The scope of anthropology?,Belgium
P3,¿De qué país es el autor del libro Textall?,Austria
P3,¿De qué país es el autor del libro Deutsche Künstler im Exil 1933-1945?,Germany
P3,¿De qué país es el autor del libro The Elusive Pimpernel (Scarlet Pimpernel)?,United Kingdom
P3,¿De qué país es el autor del libro Der tollste Tag?,Austria
P3,¿De qué país es el autor del libro What Was She Thinking? Notes on a Scandal?,United Kingdom
P3,"¿De qué país es el autor del libro León insólito ; León, ayer y hoy?",Spain
P3,¿De qué país es el autor del libro In achtzig Jahren um die Welt?,Germany
P3,¿De qué país es el autor del libro De Ceuta a Timor?,Portugal
P3,¿De qué país es el autor del libro Finding Time Again?,France
P3,¿De qué país es el autor del libro Emilia Pardo Bazán?,Spain
P3,¿De qué país es el autor del libro Un Ete Avec Kim Novak?,Sweden
P3,¿De qué país es el autor del libro Les trois anneaux?,Switzerland
P3,¿De qué país es el autor del libro Legenda ob Ulenshpigele?,Belgium
P3,¿De qué país es el autor del libro The history of the Scottish Parliament?,United Kingdom
P3,¿De qué país es el autor del libro Barabbas ; Escurial?,Belgium
P3,¿De qué país es el autor del libro Die Kinder Abrahams?,Austria
P3,¿De qué país es el autor del libro Batalha de flores?,Portugal
P3,¿De qué país es el autor del libro El olvido de sí- 2022?,Spain
P3,¿De qué país es el autor del libro Fiendens fiende?,Sweden
P3,¿De qué país es el autor del libro Ecrits?,France
P3,¿De qué país es el autor del libro Bronsteins Kinder?,Poland
P3,¿De qué país es el autor del libro Vita?,Italy
P3,¿De qué país es el autor del libro Vägen till Jerusalem?,Sweden
P3,¿De qué país es el autor del libro Grimm Reader?,United Kingdom
P3,¿De qué país es el autor del libro I fuochi dello sguardo?,Italy
P3,¿De qué país es el autor del libro Sia Calendar 2022?,United Kingdom
P3,¿De qué país es el autor del libro EL UNIVERSO DE FEDERICO FELLINI?,Spain
P3,¿De qué país es el autor del libro Litr cieklego olowiu?,Poland
P3,¿De qué país es el autor del libro Il mistero di Mangiabarche?,Italy
P3,¿De qué país es el autor del libro ha-Min ha-sheni?,France
P3,¿De qué país es el autor del libro Mécanique analytique?,France
P3,¿De qué país es el autor del libro The way?,Spain
P3,¿De qué país es el autor del libro La ira?,Spain
P3,¿De qué país es el autor del libro Meie vanad?,Sweden
P3,¿De qué país es el autor del libro Die verborgenen Gärten. Roman?,Switzerland
P3,¿De qué país es el autor del libro Wer bin ich??,Switzerland
P3,¿De qué país es el autor del libro Aknos?,Switzerland
P3,¿De qué país es el autor del libro Neues Bewusstsein?,Germany
P3,¿De qué país es el autor del libro The Colours of Infinity?,Poland
P3,¿De qué país es el autor del libro The Breuss Cancer Cure?,Austria
P3,¿De qué país es el autor del libro Uplake?,Italy
P3,¿De qué país es el autor del libro Działanie?,Poland
P3,¿De qué país es el autor del libro Wonderful Words for Writing?,United Kingdom
P3,¿De qué país es el autor del libro History of Incas (Hakluyt Society Works Ser .: No 2 Vol 22)?,Spain
P3,¿De qué país es el autor del libro Midnight's Children?,United Kingdom
P3,¿De qué país es el autor del libro Dichter im Einsatz?,Switzerland
P3,¿De qué país es el autor del libro Lettres de Pierre Martyr Anghiera Relatives Aux découvertes Maritimes des Espagnols et des Portugais?,Spain
P3,¿De qué país es el autor del libro Selected exaggerations?,Germany
P3,¿De qué país es el autor del libro Der Dorfkaiser?,Switzerland
P3,¿De qué país es el autor del libro Vehicles?,Italy
P3,"¿De qué país es el autor del libro Delilles ,,Gärten?",Poland
P3,¿De qué país es el autor del libro Bilder meines Lebens?,United Kingdom
P3,¿De qué país es el autor del libro Una grande storia d'amore?,Italy
P3,¿De qué país es el autor del libro We Can Do I.T. Too?,Italy
P3,¿De qué país es el autor del libro State of affairs?,Spain
P3,¿De qué país es el autor del libro Das Wirken der Seele?,Austria
P3,¿De qué país es el autor del libro Hitlers Inselwahn?,United Kingdom
P3,¿De qué país es el autor del libro Retour sur l'île?,Sweden
P3,¿De qué país es el autor del libro Mr. Gwyn & Three Times at Dawn?,Italy
P3,¿De qué país es el autor del libro Den politisk-satiriske Viktor Rydberg?,Sweden
P3,¿De qué país es el autor del libro Cinzas do passado?,Spain
P3,"¿De qué país es el autor del libro Adiciones, Apéndice a la postilla?",Spain
P3,¿De qué país es el autor del libro Mitten ins Herz?,Austria
P3,¿De qué país es el autor del libro Um amor feliz?,Portugal
P3,¿De qué país es el autor del libro Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika?,Switzerland
P3,¿De qué país es el autor del libro Les enjeux du XXIe siècle?,United Kingdom
P3,¿De qué país es el autor del libro Due bellissime signore?,Italy
P3,¿De qué país es el autor del libro T. J. and the Penalty?,United Kingdom
P3,"¿De qué país es el autor del libro Jimmy Flitz, die Schweizermaus?",Switzerland
P3,¿De qué país es el autor del libro Das Meer?,Belgium
P3,¿De qué país es el autor del libro Honeycomb?,United Kingdom
P3,¿De qué país es el autor del libro Hans Eisenmann?,Austria
P3,¿De qué país es el autor del libro Contraception and chastity?,United Kingdom
P3,¿De qué país es el autor del libro L'Esprit Saint?,Poland
P3,¿De qué país es el autor del libro La morte condivisa?,Italy
P3,¿De qué país es el autor del libro Den flödande lyckan?,Sweden
P3,¿De qué país es el autor del libro Wiersze i obrazki?,Poland
P3,¿De qué país es el autor del libro The continuum companion to anarchism?,United Kingdom
P3,¿De qué país es el autor del libro Green Ring?,France
P3,¿De qué país es el autor del libro Pájinas escojidas?,Spain
P3,¿De qué país es el autor del libro Il panno di mastro Gervaso?,Italy
P3,¿De qué país es el autor del libro Une hirondelle ne fait pas le printemps?,Belgium
P3,¿De qué país es el autor del libro Libros de amor?,Spain
P3,¿De qué país es el autor del libro De reis van de voorganger?,Sweden
P3,¿De qué país es el autor del libro Nach dem Schlussakkord?,Austria
P3,¿De qué país es el autor del libro Brev?,Sweden
P3,¿De qué país es el autor del libro Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie?,Germany
P3,"¿De qué país es el autor del libro Europe, Globalization, and the Coming of the Universal Caliphate?",United Kingdom
P3,"¿De qué país es el autor del libro Tsvantsig yor in Varshever ""Bund""?",Poland
P3,¿De qué país es el autor del libro Die letzte Nacht?,Austria
P3,¿De qué país es el autor del libro Die kleine Märchenreise?,Germany
P3,¿De qué país es el autor del libro We always wore sailor suits?,Italy
P3,¿De qué país es el autor del libro Regionalismus a internacionalismus v soudobé architektuře?,Austria
P4,¿De qué año es el libro Rimas y declaraciones poéticas?,1999
P4,¿De qué año es el libro Prentice Hall Literature--Copper?,1991
P4,¿De qué año es el libro LEFECTE FRANKENSTEIN?,2019
P4,¿De qué año es el libro Stormy isles?,1998
P4,¿De qué año es el libro Witch Week?,2000
P4,¿De qué año es el libro Some organising principles =?,1993
P4,¿De qué año es el libro Semantic relationism?,2007
P4,¿De qué año es el libro The Root of Evil?,2018
P4,¿De qué año es el libro Liebe Stimme?,2000
P4,¿De qué año es el libro Au pays des malices?,1980
P4,"¿De qué año es el libro Gespräche über Gott, Geist und Geld?",2014
P4,"¿De qué año es el libro A Torre de Babel, ou, A porra do Soriano?",2011
P4,¿De qué año es el libro Sangre azul?,1996
P4,¿De qué año es el libro Zofingen und sein Bezirk?,1989
P4,¿De qué año es el libro Treze contos obrigados a mote e mais um?,2003
P4,¿De qué año es el libro Brief an D.?,2008
P4,¿De qué año es el libro FORTSCHRITTSMYTHEN?,1983
P4,"¿De qué año es el libro Werbung, Theorie und Praxis werblicher Beeinflussung?",1980
P4,¿De qué año es el libro Joseph Roths Flucht und Ende?,1994
P4,¿De qué año es el libro Páginas escogidas?,1973
P4,¿De qué año es el libro Livin'La Vida Loca and Other Hits of Ricky Martin (Essential Gropus & Artists)?,1999
P4,¿De qué año es el libro Trilogía de Falcó?,2018
P4,¿De qué año es el libro Economic Policy?,2010
P4,¿De qué año es el libro O mar cor de vinho?,1996
P4,¿De qué año es el libro Female Entrepreneurship As a Driving Force of Economic Growth and Social Change?,2023
P4,¿De qué año es el libro Responding to Natural Disasters (Set)?,2022
P4,¿De qué año es el libro Les Parets en llibertat?,1977
P4,¿De qué año es el libro Un trabajo fácil?,1986
P4,¿De qué año es el libro Herrmann the Great's Wizard Manual?,2020
P4,¿De qué año es el libro Wien?,1970
P4,"¿De qué año es el libro Lecture en fête, méthode de lecture?",1996
P4,¿De qué año es el libro ¿Qué es filosofía??,1964
P4,¿De qué año es el libro Negotiating Water Governance?,2015
P4,¿De qué año es el libro Biblioteca 1?,2004
P4,¿De qué año es el libro Kleine Schriften. Band 1 (von 3).?,1985
P4,¿De qué año es el libro Paraplegie?,2006
P4,¿De qué año es el libro Herbert nieznany?,2008
P4,¿De qué año es el libro Two Hundred?,2018
P4,¿De qué año es el libro Don Quijote De La Mancha (Punto de Encuentro (Editorial Everest))?,2005
P4,¿De qué año es el libro Tous les lointains sont bleus?,2015
P4,¿De qué año es el libro Suomalaisesta runoudesta?,1983
P4,¿De qué año es el libro Dziewczyny Bonda?,2004
P4,"¿De qué año es el libro Wagner-Probleme, und Andere Studien?",2018
P4,¿De qué año es el libro Borkmann Noktası?,2019
P4,¿De qué año es el libro Roma fuggitiva?,2011
P4,"¿De qué año es el libro Nus, féroces et anthropophages?",2004
P4,¿De qué año es el libro Economia i pensament econòmic a la Catalunya de l'alta edat moderna (1520-1630)?,2006
P4,¿De qué año es el libro Communications and Multimedia Security?,2005
P4,¿De qué año es el libro Recollections of Henri Rousseau?,2006
P4,¿De qué año es el libro Enlightened Machines?,2018
P4,¿De qué año es el libro Great short stories of the masters?,2003
P4,¿De qué año es el libro Evguénie Sokolov?,1985
P4,¿De qué año es el libro Seismographische Funktion von Öffentlichkeit im Wandel?,2008
P4,¿De qué año es el libro Histoire d'une Marie?,1997
P4,¿De qué año es el libro Een vrouw voor elk seizoen?,2011
P4,¿De qué año es el libro The greatest firefighter stories never told?,2002
P4,¿De qué año es el libro La via del deserto?,2013
P4,¿De qué año es el libro Crimini?,2007
P4,¿De qué año es el libro As leis do caos?,1990
P4,"¿De qué año es el libro The Birth of the Modern, Part 2 of 3?",1991
P4,¿De qué año es el libro L'image publique?,1997
P4,¿De qué año es el libro Europa im Aufbruch?,1992
P4,¿De qué año es el libro Véspera da água?,2014
P4,¿De qué año es el libro Formula 1 99/00?,2000
P4,¿De qué año es el libro De l'inhumanité de la religion?,2000
P4,¿De qué año es el libro Los estragos del tiempo?,1999
P4,¿De qué año es el libro Softwaretechnik?,2012
P4,¿De qué año es el libro Sanningslekar?,1990
P4,¿De qué año es el libro Morte accidentale di un anarchico?,2004
P4,¿De qué año es el libro Families and how to survive them?,1983
P4,¿De qué año es el libro Fortune des Rougon?,2016
P4,¿De qué año es el libro God loves me?,1977
P4,¿De qué año es el libro Aaron's Rod?,1954
P4,¿De qué año es el libro En man i huset?,1978
P4,¿De qué año es el libro Martha Stewarts Quick Cook?,1993
P4,¿De qué año es el libro Moth to a Flame?,2019
P4,"¿De qué año es el libro ""Muse""?",2004
P4,"¿De qué año es el libro Interior Castle, Large-Print Edition?",2008
P4,¿De qué año es el libro Stop What You're Doing and Read This!?,2011
P4,¿De qué año es el libro Tankarna?,1994
P4,¿De qué año es el libro Argent (Illustré)?,2017
P4,¿De qué año es el libro Krytyka cyničnoho rozumu?,2002
P4,"¿De qué año es el libro Job, mon ami?",1997
P4,¿De qué año es el libro Anima mundi?,1997
P4,¿De qué año es el libro Firmes! (Espasa humor)?,1994
P4,¿De qué año es el libro WER DEN WIND VERNIMMT?,1981
P4,¿De qué año es el libro Loppans kvällsvard?,1986
P4,¿De qué año es el libro Miau?,2020
P4,¿De qué año es el libro Ver-rückte Zeiten?,2001
P4,¿De qué año es el libro The war trilogy?,1985
P4,¿De qué año es el libro Rua de nenhures?,2013
P4,¿De qué año es el libro In the Land of Silence?,2012
P4,¿De qué año es el libro Rallumer tous les soleils?,2006
P4,¿De qué año es el libro Diese sehr ernsten Scherze?,2007
P4,¿De qué año es el libro Rossellini?,1973
P4,¿De qué año es el libro Markuse muutumised?,1997
P4,¿De qué año es el libro Eine Lektion in Poesie wird vorbereitet?,1998
P4,¿De qué año es el libro Bridget Jones. Mad About the Boy?,2013
P4,¿De qué año es el libro El Angulo Del Horror?,2002
P4,¿De qué año es el libro O pequeno livro do grande terramoto?,2005
P5,Dime el género o el tópico principal del libro Monty Python's second film,"Monty Python and the Holy Grail (Motion picture), Motion picture plays"
P5,Dime el género o el tópico principal del libro Cultura e poder entre o Império e a República,"History, Intellectual life"
P5,Dime el género o el tópico principal del libro Ida e volta,"Description and travel, Journeys, Portuguese Authors"
P5,Dime el género o el tópico principal del libro Labyrinth,"Biography, Gay men, Homosexuality"
P5,Dime el género o el tópico principal del libro Museum und Öffentlichkeit,Museum attendance
P5,"Dime el género o el tópico principal del libro Home alone, The windows, The prompters: three plays by Dino Buzzati ; Wild boars at the forest's edge by Giuliano Scabia","Italian drama, Translations into English"
P5,Dime el género o el tópico principal del libro Francisco Rico,"Critics, Onderscheidingen, Spanish literature"
P5,Dime el género o el tópico principal del libro The man who,"Drama, Theater, Therapist and patient"
P5,Dime el género o el tópico principal del libro Vom Wahren und Guten,"Ethics, Philosophy"
P5,Dime el género o el tópico principal del libro The Secret House of Death,"Fiction, Fiction, mystery & detective, general, Townsend, susan (fictitious character), fiction"
P5,Dime el género o el tópico principal del libro Bridget Jones's guide to life,"Bridget Jones (Fictitious character), English wit and humor"
P5,Dime el género o el tópico principal del libro La testa di Vitus Bering,Fiction
P5,Dime el género o el tópico principal del libro Diccionario Coll Del Siglo Xxi,"Dictionaries, Humor, Spanish language"
P5,Dime el género o el tópico principal del libro وداعا ايتها السماء Goodbye Sky,Arabic fiction
P5,"Dime el género o el tópico principal del libro Kenya diary, 1902-1906","Description and travel, Kenya, description and travel"
P5,Dime el género o el tópico principal del libro Noldu ashemim,"Children, National socialism, Psychological aspects"
P5,Dime el género o el tópico principal del libro Great short stories of the masters,"American Short stories, Short stories, Translations into English"
P5,Dime el género o el tópico principal del libro Faith in a hard ground,"Catholic Church, Christian ethics, Christianity"
P5,Dime el género o el tópico principal del libro Pianist's A-Z,"Piano, Piano music"
P5,Dime el género o el tópico principal del libro Polen und Deutschland in Europa,"Karlspreis, Politicians, Politics and government"
P5,Dime el género o el tópico principal del libro Lecturas presocráticas,"Ancient Philosophy, Filosofía Antigua, interpretación"
