idx,tipo,pregunta,respuesta_gold,respuesta_modelo,score,rule,latency_s,finish_reason,safety_flags
10,P1,¿Quién escribió el libro Der tollste Tag?,Peter Turrini,"El libro ""Der tollste Tag"" fue escrito por **Peter Ustinov**.",0,contains(gold),0.844,1,
11,P1,¿Quién escribió el libro What Was She Thinking? Notes on a Scandal?,Zoë Heller,"El libro **""What Was She Thinking? Notes on a Scandal""** fue escrito por **Siri Hustvedt**.",0,contains(gold),4.889,1,
12,P1,"¿Quién escribió el libro León insólito ; León, ayer y hoy?",Victoriano Crémer,"El libro **""León insólito; León, ayer y hoy""** fue escrito por **Juan Carlos Onetti**.",0,contains(gold),0.748,1,
13,P1,¿Quién escribió el libro In achtzig Jahren um die Welt?,W. Michael Blumenthal,"El libro ""In achtzig Jahren um die Welt"" fue escrito por **Julio Verne**.

Es la traducción al alemán de su famosa novela **""La vuelta al mundo en ochenta días""** (Le tour du monde en quatre-vingts jours).",0,contains(gold),4.193,1,
14,P1,¿Quién escribió el libro De Ceuta a Timor?,Luís Filipe Thomáz,"El libro ""De Ceuta a Timor"" fue escrito por **José Saramago**.",0,contains(gold),0.801,1,
15,P1,¿Quién escribió el libro Finding Time Again?,Marcel Proust,"El libro ""Finding Time Again"" fue escrito por **Laura Vanderkam**.",0,contains(gold),0.816,1,
16,P1,¿Quién escribió el libro Emilia Pardo Bazán?,Cristina Fernández Cubas,"El libro ""Emilia Pardo Bazán"" fue escrito por **Lázaro Carreter**.

Es importante aclarar que no se trata de una obra de ficción escrita por Emilia Pardo Bazán sobre sí misma, sino de un **estudio biográfico y crítico** sobre la vida y obra de la propia Emilia Pardo Bazán, realizado por el reconocido filólogo y crítico literario español Fernando Lázaro Carreter.",0,contains(gold),46.304,1,
17,P1,¿Quién escribió el libro Un Ete Avec Kim Novak?,Håkan Nesser,"El libro ""Un Ete Avec Kim Novak"" fue escrito por **Jean-Pierre Coursodon**.",0,contains(gold),1.519,1,
18,P1,¿Quién escribió el libro Les trois anneaux?,Etienne Barilier,"El libro ""Les trois anneaux"" (Los tres anillos) fue escrito por **Jean-Christophe Grangé**.",0,contains(gold),0.939,1,
19,P1,¿Quién escribió el libro Legenda ob Ulenshpigele?,Charles de Coster,"El libro ""Legenda ob Ulenshpigele"" (La leyenda de Ulenspiegel) fue escrito por **Charles De Coster**.",1,contains(gold),4.552,1,
20,P1,¿Quién escribió el libro The history of the Scottish Parliament?,Keith Mann,"El libro ""The History of the Scottish Parliament"" fue escrito por **William Ferguson**.",0,contains(gold),0.949,1,
21,P1,¿Quién escribió el libro Barabbas ; Escurial?,Michel de Ghelderode,El libro **Barabbas ; Escurial** fue escrito por **Miguel Delibes**.,0,contains(gold),4.314,1,
22,P1,¿Quién escribió el libro Die Kinder Abrahams?,Peter Sichrovsky,"El libro ""Die Kinder Abrahams"" fue escrito por **Hans-Jürgen Benedict**.",0,contains(gold),0.805,1,
23,P1,¿Quién escribió el libro Batalha de flores?,António Ferro,"El libro ""Batalha de flores"" fue escrito por **Luís de Camões**.

Es una obra poética que forma parte de sus composiciones líricas.",0,contains(gold),0.855,1,
24,P1,¿Quién escribió el libro El olvido de sí- 2022?,Pablo d'Ors,"El libro ""El olvido de sí"" publicado en 2022 fue escrito por **Javier Gomá**.",0,contains(gold),46.138,1,
25,P1,¿Quién escribió el libro Fiendens fiende?,Jan Guillou,"El libro ""Fiendens fiende"" fue escrito por **Jan Guillou**.",1,contains(gold),1.458,1,
26,P1,¿Quién escribió el libro Ecrits?,Charles Koechlin,"El libro ""Écrits"" fue escrito por **Jacques Lacan**.

Es una colección de sus escritos más importantes y fundamentales, que abarcan una amplia gama de temas dentro del psicoanálisis y la filosofía.",0,contains(gold),1.018,1,
27,P1,¿Quién escribió el libro Bronsteins Kinder?,Jurek Becker,El libro **Bronsteins Kinder** fue escrito por **Joseph Roth**.,0,contains(gold),4.597,1,
28,P1,¿Quién escribió el libro Vita?,Melania G. Mazzucco,"El libro ""Vita"" fue escrito por **Lars Iyer**.",0,contains(gold),0.81,1,
29,P1,¿Quién escribió el libro Vägen till Jerusalem?,Jan Guillou,"El libro ""Vägen till Jerusalem"" (El Camino a Jerusalén) fue escrito por **Jan Guillou**.",1,contains(gold),4.141,1,
30,P1,¿Quién escribió el libro Grimm Reader?,A. S. Byatt,"El libro **Grimm Reader** fue escrito por **Jacob Grimm y Wilhelm Grimm**.

Ellos son los famosos **Hermanos Grimm**, conocidos por recopilar y publicar cuentos populares alemanes, entre los que se encuentran muchos de los que hoy conocemos como ""cuentos de hadas"".",0,contains(gold),1.094,1,
31,P1,¿Quién escribió el libro I fuochi dello sguardo?,Achille Bonito Oliva,"El libro ""I fuochi dello sguardo"" fue escrito por **Giuseppe Bonaviri**.",0,contains(gold),0.522,1,
32,P1,¿Quién escribió el libro Sia Calendar 2022?,Rebecca Mader,"No hay información pública disponible sobre quién escribió específicamente el libro ""Sia Calendar 2022"".

Es posible que:

*   **Sea una publicación de una organización o grupo:** A veces, los calendarios son creados por organizaciones, instituciones o grupos de personas que colaboran en su contenido.
*   **No haya un autor individual destacado:** En el caso de calendarios, a menudo el enfoque está en el contenido (fechas, eventos, imágenes) más que en un autor literario específico.
*   **La información no sea fácilmente accesible:** No toda la información sobre la autoría de publicaciones menos convencionales se publica de forma destacada.

Si tienes el libro, te recomiendo que busques en la portada, la contraportada, la página de derechos de autor o en las primeras páginas del calendario. Allí suele encontrarse la información sobre la autoría o la entidad responsable de su creación.",0,contains(gold),47.126,1,
33,P1,¿Quién escribió el libro EL UNIVERSO DE FEDERICO FELLINI?,Felipe González,"El libro ""El Universo de Federico Fellini"" fue escrito por **Gian Piero Brunetta**.",0,contains(gold),0.88,1,
34,P1,¿Quién escribió el libro Litr cieklego olowiu?,Andrzej Pilipiuk,"El libro ""Litr cieklego olowiu"" fue escrito por **Stanisław Lem**.",0,contains(gold),0.835,1,
35,P1,¿Quién escribió el libro Il mistero di Mangiabarche?,Massimo Carlotto,"El libro ""Il mistero di Mangiabarche"" fue escrito por **Roberto Piumini**.",0,contains(gold),4.803,1,
36,P1,¿Quién escribió el libro ha-Min ha-sheni?,Simone de Beauvoir,"El libro ""Ha-Min ha-sheni"" (המין השני), que se traduce como ""El Segundo Sexo"" en español, fue escrito por **Simone de Beauvoir**.",1,contains(gold),0.799,1,
37,P1,¿Quién escribió el libro Mécanique analytique?,Joseph-Louis Lagrange,"El libro ""Mécanique analytique"" fue escrito por **Joseph-Louis Lagrange**.",1,contains(gold),4.313,1,
38,P1,¿Quién escribió el libro The way?,Josemaría Escrivá de Balaguer,"El libro ""The Way"" fue escrito por **Carlos Castaneda**.",0,contains(gold),0.63,1,
39,P1,¿Quién escribió el libro La ira?,Zoé Valdés,"El libro ""La ira"" fue escrito por **Juan Pablo Villalobos**.",0,contains(gold),0.948,1,
40,P1,¿Quién escribió el libro Meie vanad?,Jaan Lattik,"El libro ""Meie vanad"" fue escrito por **Jaan Kross**.",0,contains(gold),46.053,1,
41,P1,¿Quién escribió el libro Die verborgenen Gärten. Roman?,Martin R. Dean,"El libro ""Die verborgenen Gärten. Roman"" fue escrito por **Ursula K. Le Guin**.",0,contains(gold),1.944,1,
42,P1,¿Quién escribió el libro Wer bin ich??,Roger Schawinski,"El libro ""Wer bin ich?"" (¿Quién soy?) fue escrito por **Jörg Wickert**.",0,contains(gold),0.623,1,
43,P1,¿Quién escribió el libro Aknos?,Fulvio Caccia,"El libro ""Aknos"" fue escrito por **Javier Cercas**.",0,contains(gold),4.685,1,
44,P1,¿Quién escribió el libro Neues Bewusstsein?,Peter Sloterdijk,"El libro ""Neues Bewusstsein"" fue escrito por **Rüdiger Dahlke**.",0,contains(gold),0.925,1,
45,P1,¿Quién escribió el libro The Colours of Infinity?,Benoît Mandelbrot,"El libro ""The Colours of Infinity"" fue escrito por **Mario Livio**.",0,contains(gold),4.206,1,
46,P1,¿Quién escribió el libro The Breuss Cancer Cure?,Rudolf Breuss,"El libro ""The Breuss Cancer Cure"" fue escrito por **Rudolf Breuss**.",1,contains(gold),0.516,1,
47,P1,¿Quién escribió el libro Uplake?,Spagna,"El libro ""Uplake"" fue escrito por **Sarah Blake**.",0,contains(gold),0.976,1,
48,P1,¿Quién escribió el libro Działanie?,Jacek Kuroń,"El libro ""Działanie"" fue escrito por **Marek Kondrat**.",0,contains(gold),46.253,1,
49,P1,¿Quién escribió el libro Wonderful Words for Writing?,Q25161,"El libro ""Wonderful Words for Writing"" fue escrito por **Dorothy A. Miller**.",0,contains(gold),1.705,1,
50,P1,¿Quién escribió el libro History of Incas (Hakluyt Society Works Ser .: No 2 Vol 22)?,Pedro Sarmiento de Gamboa,"El libro ""History of Incas"" (Hakluyt Society Works Ser .: No 2 Vol 22) fue escrito por **Pedro Sarmiento de Gamboa**.

Esta obra es una traducción y publicación de la Hakluyt Society, y el texto original fue escrito por Sarmiento de Gamboa.",1,contains(gold),1.034,1,
51,P1,¿Quién escribió el libro Midnight's Children?,Salman Rushdie,"El libro ""Midnight's Children"" fue escrito por **Salman Rushdie**.",1,contains(gold),5.43,1,
52,P1,¿Quién escribió el libro Dichter im Einsatz?,Dieter Fringeli,"El libro ""Dichter im Einsatz"" fue escrito por **Erich Kästner**.",0,contains(gold),0.553,1,
53,P1,¿Quién escribió el libro Lettres de Pierre Martyr Anghiera Relatives Aux découvertes Maritimes des Espagnols et des Portugais?,Pedro Mártir de Anglería,"El libro ""Lettres de Pierre Martyr d'Anghiera Relatives aux découvertes maritimes des Espagnols et des Portugais"" fue escrito por **Pierre Martyr d'Anghiera** (también conocido como Pedro Mártir de Anglería).

Él mismo recopiló y publicó sus cartas, que son una fuente primaria invaluable sobre los primeros años de la exploración y conquista española y portuguesa en el Nuevo Mundo.",1,contains(gold),4.381,1,
54,P1,¿Quién escribió el libro Selected exaggerations?,Peter Sloterdijk,"El libro ""Selected Exaggerations"" fue escrito por **Italo Calvino**.",0,contains(gold),0.503,1,
55,P1,¿Quién escribió el libro Der Dorfkaiser?,Paul Sutermeister,"El libro ""Der Dorfkaiser"" fue escrito por **Heinrich Spoerl**.",0,contains(gold),0.69,1,
56,P1,¿Quién escribió el libro Vehicles?,Valentino Braitenberg,El libro **Vehicles** fue escrito por **Isaac Asimov**.,0,contains(gold),45.766,1,
57,P1,"¿Quién escribió el libro Delilles ,,Gärten?",Victor Klemperer,"El libro ""Gärten"" (Jardines) de Delille fue escrito por **Jacques Delille**.",0,contains(gold),1.687,1,
58,P1,¿Quién escribió el libro Bilder meines Lebens?,Peter Ustinov,"El libro ""Bilder meines Lebens"" (Imágenes de mi vida) fue escrito por **Käthe Kollwitz**.",0,contains(gold),0.867,1,
59,P1,¿Quién escribió el libro Una grande storia d'amore?,Susanna Tamaro,"El libro ""Una grande storia d'amore"" fue escrito por **Fabio Volo**.",0,contains(gold),4.726,1,
60,P1,¿Quién escribió el libro We Can Do I.T. Too?,Nada,"El libro ""We Can Do I.T. Too"" fue escrito por **Sarah Jones**.",0,contains(gold),1.491,1,
61,P1,¿Quién escribió el libro State of affairs?,Jesús Padilla Gálvez,"El libro ""State of Affairs"" fue escrito por **Nora Roberts**.",0,contains(gold),3.525,1,
62,P1,¿Quién escribió el libro Das Wirken der Seele?,Rudolf Eisler,"El libro ""Das Wirken der Seele"" fue escrito por **Rudolf Steiner**.",0,contains(gold),1.392,1,
63,P1,¿Quién escribió el libro Hitlers Inselwahn?,John Nettles,"El libro ""Hitlers Inselwahn"" fue escrito por **Wolfgang Benz**.",0,contains(gold),0.62,1,
64,P1,¿Quién escribió el libro Retour sur l'île?,Viveca Sten,"El libro ""Retour sur l'île"" fue escrito por **Jean-Christophe Rufin**.",0,contains(gold),45.788,1,
65,P1,¿Quién escribió el libro Mr. Gwyn & Three Times at Dawn?,Alessandro Baricco,El libro **Mr. Gwyn & Three Times at Dawn** fue escrito por **Alessandro Baricco**.,1,contains(gold),1.782,1,
66,P1,¿Quién escribió el libro Den politisk-satiriske Viktor Rydberg?,Viktor Rydberg,"El libro ""Den politisk-satiriske Viktor Rydberg"" fue escrito por **Bo Lindberg**.",1,contains(gold),1.004,1,
67,P1,¿Quién escribió el libro Cinzas do passado?,Martin Suter,"El libro ""Cinzas do passado"" fue escrito por **José Saramago**.",0,contains(gold),4.599,1,
68,P1,"¿Quién escribió el libro Adiciones, Apéndice a la postilla?",Bernardino de Sahagún,"El libro ""Adiciones, Apéndice a la Postilla"" fue escrito por **Martín Lutero**.

Este texto es una adición o apéndice a su obra más conocida, la ""Postilla"", que son sus sermones sobre los evangelios del año litúrgico.",0,contains(gold),1.617,1,
69,P1,¿Quién escribió el libro Mitten ins Herz?,Margret Kreidl,"El libro ""Mitten ins Herz"" fue escrito por **Jojo Moyes**.",0,contains(gold),3.302,1,
70,P1,¿Quién escribió el libro Um amor feliz?,David Mourão-Ferreira,"El libro ""Um amor feliz"" fue escrito por **Mário de Andrade**.",0,contains(gold),1.435,1,
71,P1,¿Quién escribió el libro Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika?,Alexander Ziegler,"El libro ""Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika"" fue escrito por **Friedrich von Raumer**.",0,contains(gold),0.638,1,
72,P1,¿Quién escribió el libro Les enjeux du XXIe siècle?,Eric Hobsbawm,"El libro ""Les enjeux du XXIe siècle"" (Los desafíos del siglo XXI) fue escrito por **Jacques Attali**.",0,contains(gold),45.754,1,
73,P1,¿Quién escribió el libro Due bellissime signore?,Mario Biondi,"El libro ""Due bellissime signore"" fue escrito por **Alberto Moravia**.",0,contains(gold),1.692,1,
74,P1,¿Quién escribió el libro T. J. and the Penalty?,Theo Walcott,"El libro ""T. J. and the Penalty"" fue escrito por **Paul L. M. Smith**.",0,contains(gold),0.852,1,
75,P1,"¿Quién escribió el libro Jimmy Flitz, die Schweizermaus?",Roland Zoss,"El libro ""Jimmy Flitz, die Schweizermaus"" fue escrito por **Ursula Dubosarsky**.",0,contains(gold),4.906,1,
76,P1,¿Quién escribió el libro Das Meer?,Jan Hoet,"El libro ""Das Meer"" (El Mar) fue escrito por **Hermann Hesse**.",0,contains(gold),1.336,1,
77,P1,¿Quién escribió el libro Honeycomb?,Joanne Harris,"El libro ""Honeycomb"" fue escrito por **Joanne M. Harris**.",0,contains(gold),3.811,1,
78,P1,¿Quién escribió el libro Hans Eisenmann?,Otto Bauer,"No existe un libro conocido o autor llamado ""Hans Eisenmann"". Es posible que haya un error en el nombre o que te refieras a otra obra o persona.

Si tienes más detalles sobre el libro o el autor que buscas, por favor, proporciónalos para que pueda ayudarte mejor.",0,contains(gold),1.321,1,
79,P1,¿Quién escribió el libro Contraception and chastity?,Elizabeth Anscombe,"El libro ""Contraception and Chastity"" fue escrito por **John T. Noonan Jr.**",0,contains(gold),1.332,1,
80,P1,¿Quién escribió el libro L'Esprit Saint?,Juan Pablo II,"El libro ""L'Esprit Saint"" (El Espíritu Santo) fue escrito por **Henri de Lubac**.",0,contains(gold),44.821,1,
81,P1,¿Quién escribió el libro La morte condivisa?,Giovanni Franzoni,"El libro ""La morte condivisa"" fue escrito por **Massimo Recalcati**.",0,contains(gold),1.952,1,
82,P1,¿Quién escribió el libro Den flödande lyckan?,Eva Ström,"El libro ""Den flödande lyckan"" fue escrito por **Lars Grahn**.",0,contains(gold),0.823,1,
83,P1,¿Quién escribió el libro Wiersze i obrazki?,Julian Przyboś,"El libro ""Wiersze i obrazki"" fue escrito por **Jan Brzechwa**.",0,contains(gold),4.609,1,
84,P1,¿Quién escribió el libro The continuum companion to anarchism?,Ruth Kinna,"El libro ""The Continuum Companion to Anarchism"" fue editado por **M. E. Sharpe**.

Es importante notar que este tipo de libros, llamados ""companions"" o ""handbooks"", suelen ser compilaciones de ensayos escritos por diferentes autores y editados por una o varias personas. En este caso, M. E. Sharpe es la editorial que publicó la obra, y la edición (la selección y organización de los ensayos) recae en los editores del volumen.

Si buscas los autores de los ensayos individuales dentro del libro, tendrías que consultar el índice o la tabla de contenidos específico de ""The Continuum Companion to Anarchism"".",0,contains(gold),1.835,1,
85,P1,¿Quién escribió el libro Green Ring?,Zinaída Guíppius,"El libro ""Green Ring"" fue escrito por **Yoko Ogawa**.",0,contains(gold),3.292,1,
86,P1,¿Quién escribió el libro Pájinas escojidas?,Juan Ramón Jiménez,"El libro ""Páginas escogidas"" fue escrito por **Jorge Luis Borges**.

Es una recopilación de algunos de sus cuentos y ensayos más representativos, seleccionados por él mismo.",0,contains(gold),1.295,1,
87,P1,¿Quién escribió el libro Il panno di mastro Gervaso?,Danila Comastri Montanari,"El libro ""Il panno di mastro Gervaso"" fue escrito por **Luigi Pirandello**.",0,contains(gold),0.696,1,
88,P1,¿Quién escribió el libro Une hirondelle ne fait pas le printemps?,Éric-Emmanuel Schmitt,"El libro ""Une hirondelle ne fait pas le printemps"" fue escrito por **Françoise Sagan**.",0,contains(gold),45.597,1,
89,P1,¿Quién escribió el libro Libros de amor?,Juan Ramón Jiménez,"El libro ""Libros de amor"" fue escrito por **Juan Carlos Onetti**.",0,contains(gold),1.953,1,
90,P1,¿Quién escribió el libro De reis van de voorganger?,Per Olov Enquist,"El libro ""De reis van de voorganger"" fue escrito por **Herman van Veen**.",0,contains(gold),0.601,1,
91,P1,¿Quién escribió el libro Nach dem Schlussakkord?,Alfred Brendel,"El libro ""Nach dem Schlussakkord"" fue escrito por **Erich Kästner**.",0,contains(gold),4.695,1,
92,P1,¿Quién escribió el libro Brev?,Stig Dagerman,"El libro ""Brev"" fue escrito por **Javier Marías**.",0,contains(gold),1.679,1,
93,P1,¿Quién escribió el libro Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie?,Carl Amery,"El libro ""Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie"" (Sobre la pérdida de la vergüenza y la desaparición gradual de la democracia) fue escrito por **Wolfgang Thierse**.",0,contains(gold),3.47,1,
94,P1,"¿Quién escribió el libro Europe, Globalization, and the Coming of the Universal Caliphate?",Bat Ye'or,"El libro ""Europe, Globalization, and the Coming of the Universal Caliphate"" fue escrito por **Gilles Kepel**.",0,contains(gold),1.283,1,
95,P1,"¿Quién escribió el libro Tsvantsig yor in Varshever ""Bund""?",Bernard Goldstein,"El libro ""Tsvantsig yor in Varshever Bund"" (Veinte años en el Bund de Varsovia) fue escrito por **Abraham Shulkes**.",0,contains(gold),1.173,1,
96,P1,¿Quién escribió el libro Die letzte Nacht?,Karl Kraus,"El libro ""Die letzte Nacht"" fue escrito por **Michael Ende**.",0,contains(gold),45.248,1,
97,P1,¿Quién escribió el libro Die kleine Märchenreise?,Ulrich Karger,"El libro ""Die kleine Märchenreise"" fue escrito por **Hildegard von Bingen**.",0,contains(gold),1.655,1,
98,P1,¿Quién escribió el libro We always wore sailor suits?,Susanna Agnelli,"El libro ""We Always Wore Sailor Suits"" fue escrito por **Lois Lowry**.",0,contains(gold),0.837,1,
99,P1,¿Quién escribió el libro Regionalismus a internacionalismus v soudobé architektuře?,Friedrich Achleitner,"El libro ""Regionalismus a internacionalismus v soudobé architektuře"" fue escrito por **Karel Maier**.",0,contains(gold),4.884,1,
100,P2,¿De qué país es la persona André Blavier?,Belgium,André Blavier es de **Bélgica**.,1,country_alias_match,1.379,1,
101,P2,¿De qué país es la persona Anne Moreau-Vagnon?,France,Anne Moreau-Vagnon es de **Francia**.,1,country_alias_match,3.545,1,
102,P2,¿De qué país es la persona Niklaus Brantschen?,Switzerland,Niklaus Brantschen es de **Suiza**.,1,country_alias_match,1.637,1,
103,P2,¿De qué país es la persona Aline Magnusson?,Sweden,Aline Magnusson es de **Suecia**.,1,country_alias_match,0.477,1,
104,P2,¿De qué país es la persona Felipe González?,Spain,Felipe González es de **España**.,1,country_alias_match,45.611,1,
105,P2,¿De qué país es la persona Pedro Rosa Mendes?,Portugal,Pedro Rosa Mendes es de **Portugal**.,1,country_alias_match,1.716,1,
106,P2,¿De qué país es la persona Michael Hainisch?,Austria,Michael Hainisch era de **Austria**. Fue el segundo presidente de Austria después de la Primera Guerra Mundial.,1,country_alias_match,1.234,1,
107,P2,¿De qué país es la persona Alda Merini?,Italy,Alda Merini era de **Italia**.,1,country_alias_match,4.259,1,
108,P2,¿De qué país es la persona A. S. Byatt?,United Kingdom,A. S. Byatt es del **Reino Unido**.,1,country_alias_match,1.685,1,
109,P2,¿De qué país es la persona Albin Körösi?,Spain,Albin Körösi es de **Hungría**.,0,country_alias_match,3.37,1,
110,P2,¿De qué país es la persona Voltaire?,France,Voltaire era de **Francia**.,1,country_alias_match,1.548,1,
111,P2,¿De qué país es la persona Arnošt Muka?,Germany,"Arnošt Muka era de **Checoslovaquia**.

Nació en la región de Lusacia Superior, que en ese momento formaba parte de Sajonia (Alemania), pero él se identificaba como **sorbio** y su trabajo se centró en la cultura y el idioma de los sorbios, un pueblo eslavo que vive en esa región. Sin embargo, su vida y obra estuvieron fuertemente ligadas a Checoslovaquia, especialmente a Praga, donde estudió y trabajó.",1,country_alias_match,1.33,1,
112,P2,¿De qué país es la persona Andreas Gruschke?,Germany,Andreas Gruschke es de **Alemania**.,1,country_alias_match,45.047,1,
113,P2,¿De qué país es la persona Peter Greenaway?,United Kingdom,"Peter Greenaway es del **Reino Unido**.

Nació en Newport, Gales, que forma parte del Reino Unido.",1,country_alias_match,1.751,1,
114,P2,¿De qué país es la persona Ludwig Fels?,Germany,Ludwig Fels es de **Alemania**.,1,country_alias_match,1.036,1,
115,P2,¿De qué país es la persona Saffron Burrows?,United Kingdom,Saffron Burrows es del **Reino Unido**.,1,country_alias_match,4.43,1,
116,P2,¿De qué país es la persona Ludwig Renn?,Germany,Ludwig Renn era de **Alemania**.,1,country_alias_match,1.591,1,
117,P2,¿De qué país es la persona Angélica Liddell?,Spain,Angélica Liddell es de **España**.,1,country_alias_match,3.428,1,
118,P2,¿De qué país es la persona Carlo Emilio Gadda?,Italy,Carlo Emilio Gadda es de **Italia**.,1,country_alias_match,1.371,1,
119,P2,¿De qué país es la persona Peter Kern?,Austria,"No hay información pública fácilmente disponible que indique de qué país es Peter Kern.

Es posible que sea una persona privada o que su nacionalidad no sea un dato ampliamente conocido.",0,country_alias_match,0.999,1,
120,P2,¿De qué país es la persona Bernardo Atxaga?,Spain,"Bernardo Atxaga es de **España**.

Más específicamente, es de **País Vasco**, una comunidad autónoma de España.",1,country_alias_match,45.611,1,
121,P2,¿De qué país es la persona Jean-Baptiste Say?,France,Jean-Baptiste Say era de **Francia**.,1,country_alias_match,1.608,1,
122,P2,¿De qué país es la persona Bodo Uhse?,France,Bodo Uhse era de **Alemania**.,0,country_alias_match,0.958,1,
123,P2,¿De qué país es la persona Marcel Reich-Ranicki?,Poland,"Marcel Reich-Ranicki era de **Alemania**.

Nació en Włocławek, Polonia, pero se nacionalizó alemán y desarrolló la mayor parte de su carrera y vida en Alemania, convirtiéndose en uno de los críticos literarios más influyentes del país.",1,country_alias_match,4.777,1,
124,P2,¿De qué país es la persona Alice Ceresa?,Switzerland,Alice Ceresa es de **Italia**.,0,country_alias_match,1.193,1,
125,P2,¿De qué país es la persona Achille Campanile?,Italy,Achille Campanile era **italiano**.,1,country_alias_match,3.542,1,
126,P2,¿De qué país es la persona Remigiusz Mielcarek?,Poland,Remigiusz Mielcarek es de **Polonia**.,1,country_alias_match,1.541,1,
127,P2,¿De qué país es la persona Wilhelm Reich?,Poland,"Wilhelm Reich era de **Austria**.

Nació en Guntramsdorf, Austria, en 1897.",0,country_alias_match,0.816,1,
128,P2,¿De qué país es la persona Thierry Debels?,Belgium,Thierry Debels es de **Bélgica**.,1,country_alias_match,45.6,1,
129,P2,¿De qué país es la persona Andrzej Bursa?,Poland,Andrzej Bursa era de **Polonia**.,1,country_alias_match,2.433,1,
130,P2,¿De qué país es la persona Claire Tomalin?,United Kingdom,Claire Tomalin es del **Reino Unido**.,1,country_alias_match,0.627,1,
131,P2,¿De qué país es la persona Octave Pirmez?,Belgium,Octave Pirmez era de **Bélgica**.,1,country_alias_match,4.132,1,
132,P2,¿De qué país es la persona Leopold Staff?,Poland,Leopold Staff era de **Polonia**.,1,country_alias_match,1.795,1,
133,P2,¿De qué país es la persona Fernando Namora?,Portugal,Fernando Namora es de **Portugal**.,1,country_alias_match,3.174,1,
134,P2,¿De qué país es la persona Sandra Milo?,Italy,Sandra Milo era de **Italia**.,1,country_alias_match,1.451,1,
135,P2,¿De qué país es la persona César Barja?,Spain,César Barja es de **España**.,1,country_alias_match,0.999,1,
136,P2,¿De qué país es la persona Martin Hürlimann?,Switzerland,Martin Hürlimann es de **Suiza**.,1,country_alias_match,45.466,1,
137,P2,¿De qué país es la persona Isaac Bashevis Singer?,Poland,"Isaac Bashevis Singer era de **Polonia**.

Nació en el pueblo de Leoncin, cerca de Varsovia, Polonia, en 1902. Aunque vivió gran parte de su vida en Estados Unidos, su origen y su lengua materna, el yiddish, lo vinculan fuertemente a Polonia.",1,country_alias_match,2.779,1,
