primera pregunta,segunda pregunta
Dime alguna editorial que haya publicado la obra El invernadero?,Estas son las editoriales que han publicado la obra: Editorial Cuneta. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Puig por Puig?,Estas son las editoriales que han publicado la obra: Iberoamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Sólo el azar (1. edición) (2011)?,Estas son las editoriales que han publicado la obra: Pre-Textos. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Jorge Luis Borges La Literatura Como Tierra Propia (100 Personajes) (100 Personajes)?,Estas son las editoriales que han publicado la obra: Panamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Todos los poemas?,"Estas son las editoriales que han publicado la obra: Universidad Ricardo Palma, Editorial Universitaria. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra La vorágine?,Estas son las editoriales que han publicado la obra: Resplandor Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Mezzogiorno in Venezuela?,Estas son las editoriales que han publicado la obra: El Estilete. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Epifanía en el desierto?,Estas son las editoriales que han publicado la obra: Alfaguara. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Diez Teorias Que Conmovieron Al Mundo II?,Estas son las editoriales que han publicado la obra: CI Capital Intelectual. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El otro delta?,Estas son las editoriales que han publicado la obra: Monte Ávila Editores Latinoamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Guillermo Chifflet?,Estas son las editoriales que han publicado la obra: Rumbo Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Cómo Organizar una Manifestación (How to Organize a Rally)?,Estas son las editoriales que han publicado la obra: Rosen Publishing Group. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra No sólo de hambre vive el hombre?,Estas son las editoriales que han publicado la obra: Amuleto. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Libro de las poéticas?,Estas son las editoriales que han publicado la obra: Fundación Editorial El Perro y la Rana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Un destino melodramático?,Estas son las editoriales que han publicado la obra: El Cuenco de Plata. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Tres Novelas?,Estas son las editoriales que han publicado la obra: Fondo De Cultura Economica USA. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Pa' bravo yo?,Estas son las editoriales que han publicado la obra: Mesa Redonda. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La fauna del cielo?,Estas son las editoriales que han publicado la obra: Étnika. ¿Respondiste bien? Responde con sí o no.
"Dime alguna editorial que haya publicado la obra Padres, maestros, y políticos?",Estas son las editoriales que han publicado la obra: Taurus. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Dona Pinones?,Estas son las editoriales que han publicado la obra: Ediciones Ekare. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La Cueva?,"Estas son las editoriales que han publicado la obra: Panamericana Formas, Planeta. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Dermian (Spanish Edition)?,Estas son las editoriales que han publicado la obra: CreateSpace Independent Publishing Platform. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Lautaro - Joven Libertador de Arauco?,Estas son las editoriales que han publicado la obra: Zig Zag. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Cosquillas en el ombligo?,Estas son las editoriales que han publicado la obra: Sudamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Magna Diva?,Estas son las editoriales que han publicado la obra: Ediciones Oxímoron. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Apariciones?,Estas son las editoriales que han publicado la obra: Ediciones Trilce. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Cañuela y petaca y otros cuentos?,Estas son las editoriales que han publicado la obra: Editorial Forja. ¿Respondiste bien? Responde con sí o no.
"Dime alguna editorial que haya publicado la obra Desquiciados, maniacos, diferentes?",Estas son las editoriales que han publicado la obra: Correveidile. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El país de la sopa dura?,Estas son las editoriales que han publicado la obra: Editorial Servilibro. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Un libro quemado?,Estas son las editoriales que han publicado la obra: Editorial Excursiones. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El ministro y la ballena?,Estas son las editoriales que han publicado la obra: Fin de Siglo Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Noticias Historiales de Las Conquistas de Tierra Firme en Las Indias Occidentales; Volume 4?,"Estas son las editoriales que han publicado la obra: Creative Media Partners, LLC. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Memorias de la Pivihuarmi Cuxirimay Ocllo?,Estas son las editoriales que han publicado la obra: Manthra Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Uruguay en la mira del narco?,Estas son las editoriales que han publicado la obra: Sudamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El testamento del mago tenor?,Estas son las editoriales que han publicado la obra: Emecé. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Poema de la celebración?,Estas son las editoriales que han publicado la obra: Arandurã Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El Raiz Salvaje - Cantaro Fresco?,Estas son las editoriales que han publicado la obra: Losada. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Inventario Tres?,"Estas son las editoriales que han publicado la obra: Editorial Seix Barral, Alfaguara. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Qué poco vale la vida?,Estas son las editoriales que han publicado la obra: Editorial Planeta S.A.. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Leyendario?,Estas son las editoriales que han publicado la obra: Independently Published. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La rosa azul?,Estas son las editoriales que han publicado la obra: Servilibro. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Durante la Reconquista?,Estas son las editoriales que han publicado la obra: Editorial Universitaria. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Cuando pase el ciego : cuentos - 1. ed.?,Estas son las editoriales que han publicado la obra: Sílaba Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La China Tudela y la panaca real?,Estas son las editoriales que han publicado la obra: Grupo Editorial Norma. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La prosa nunca está terminada?,Estas son las editoriales que han publicado la obra: Ediciones Universidad Diego Portales. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Los Dias Azules?,Estas son las editoriales que han publicado la obra: Alfaguara. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Siete ensayos de interpretación de la realidad peruana?,Estas son las editoriales que han publicado la obra: Ediciones Era. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Biografías animales?,Estas son las editoriales que han publicado la obra: Secretaría de Cultura de la Nación en coproducción con Ediciones Devenir. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Luis Carlos Lopez?,Estas son las editoriales que han publicado la obra: Panamericana Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Después y antes de Dios?,Estas son las editoriales que han publicado la obra: Pre-textos. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Un viento negro?,Estas son las editoriales que han publicado la obra: Servilibro. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El último adiós?,Estas son las editoriales que han publicado la obra: Ediciones de la Banda Oriental. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Asi Hablo Zaratustra (Spanish Version)?,Estas son las editoriales que han publicado la obra: CreateSpace Independent Publishing Platform. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Un acordeo n tras la reja?,Estas son las editoriales que han publicado la obra: Instituto Caro y Cuervo. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La Rebelión?,Estas son las editoriales que han publicado la obra: BiblioBazaar. ¿Respondiste bien? Responde con sí o no.
