pregunta,respuesta
"¿Quién es el autor de la obra Enjambres?; Responde con una de estas opciones: (a) Edgar Borges, (b) Mirko Lauer, (c) Ramón Paz Ipuana, (d) Leonardo Garet",Edgar Borges
"¿Quién es el autor de la obra Basuras de Shanghai?; Responde con una de estas opciones: (a) Jorge Icaza, (b) Germán Borda, (c) Rodolfo Santullo, (d) Germán Marín",Germán Marín
"¿Quién es el autor de la obra Amusa?; Responde con una de estas opciones: (a) Gonzalo Cammarota, (b) Rafael Cadenas, (c) Antonio Rocha, (d) Gloria Mendoza Borda",Gloria Mendoza Borda
"¿Quién es el autor de la obra El pecado original?; Responde con una de estas opciones: (a) Emilio Mignone, (b) Alfonso Lessa, (c) Félix Coluccio, (d) Claudia Piñeiro",Alfonso Lessa
"¿Quién es el autor de la obra El novato?; Responde con una de estas opciones: (a) Osvaldo Aguirre, (b) Álvaro Diez de Medina, (c) Enrique Congrains, (d) Arturo Capdevila",Osvaldo Aguirre
"¿Quién es el autor de la obra Poco Hombre?; Responde con una de estas opciones: (a) José Domingo Díaz, (b) Enrique Congrains, (c) Pedro Lemebel, (d) Miguel Ángel Morelli",Pedro Lemebel
"¿Quién es el autor de la obra La expulsión del paraíso?; Responde con una de estas opciones: (a) Enrique Rocha Monroy, (b) Hernán Rodríguez Castelo, (c) Javier Zamudio, (d) Rafo León",Rafo León
"¿Quién es el autor de la obra Azar?; Responde con una de estas opciones: (a) Lucas García, (b) William Ospina, (c) Gustavo San Román, (d) Juan Oropeza",William Ospina
"¿Quién es el autor de la obra Atrapados - 3 Tomos?; Responde con una de estas opciones: (a) Oldman Botello, (b) Jorge Icaza, (c) Óscar Pantoja, (d) Wafi Salih",Jorge Icaza
"¿Quién es el autor de la obra Dos fantasías memorables ; Un modelo para la muerte?; Responde con una de estas opciones: (a) Eder Acosta Santacruz, (b) Adolfo Bioy Casares, (c) Alejandro Peralta, (d) Diego Valverde Villena",Adolfo Bioy Casares
"¿Quién es el autor de la obra El beso de la mujer araña?; Responde con una de estas opciones: (a) Leopoldo Castedo, (b) Manuel Puig, (c) Juan Oddone, (d) Germán García",Manuel Puig
"¿Quién es el autor de la obra Trilce?; Responde con una de estas opciones: (a) Edgar Borges, (b) César Vallejo, (c) Alejandro Zambra, (d) Demetrio Aguilera Malta",César Vallejo
"¿Quién es el autor de la obra Los alegres desahuciados?; Responde con una de estas opciones: (a) Andrés Mariño Palacio, (b) Marcos Llemes, (c) Fernando Gerbasi, (d) Eduardo Alvariza",Andrés Mariño Palacio
"¿Quién es el autor de la obra Venezuela?; Responde con una de estas opciones: (a) Luis Britto García, (b) Ricardo González Vigil, (c) Héctor Mora, (d) Hugo Foguet",Luis Britto García
"¿Quién es el autor de la obra Las iniciales del tiempo?; Responde con una de estas opciones: (a) Daniuska González, (b) Eustaquio Palacios, (c) René Dávalos, (d) Tito Matamala",Daniuska González
"¿Quién es el autor de la obra Faros del Uruguay?; Responde con una de estas opciones: (a) José Miguel Ibáñez Langlois, (b) Juan Antonio Varese, (c) Juan Oropeza, (d) Claudio Paolillo",Juan Antonio Varese
"¿Quién es el autor de la obra Prontuario de folklore literario venezolano?; Responde con una de estas opciones: (a) José Toribio Medina, (b) Gustavo Luis Carrera, (c) Fernando Amado, (d) Isaac Pardo",Gustavo Luis Carrera
"¿Quién es el autor de la obra Cualquiercosario?; Responde con una de estas opciones: (a) Manuel Baldomero Ugarte, (b) Jacinto Ventura de Molina, (c) Gustavo Wojciechowski, (d) César Rivas Lara",Gustavo Wojciechowski
"¿Quién es el autor de la obra Asesinato en la gran ciudad del Cuzco?; Responde con una de estas opciones: (a) Telmo Herrera, (b) Luis Nieto Degregori, (c) Luis Vidales, (d) Washington Córdova Huamán",Luis Nieto Degregori
"¿Quién es el autor de la obra La oscuridad menos reciente?; Responde con una de estas opciones: (a) Alberto Flores Galindo, (b) Ricardo Prieto, (c) Damián González Bertolino, (d) Felipe Pigna",Ricardo Prieto
"¿Quién es el autor de la obra Nino, el rey de todo el mundo?; Responde con una de estas opciones: (a) Luis Enrique Fierro, (b) Gusti, (c) Isabel Allende, (d) David Rosenmann-Taub",Gusti
"¿Quién es el autor de la obra Ideas y conflictos en la educación venezolana?; Responde con una de estas opciones: (a) Jaime Antúnez Aldunate, (b) Rafael Fernández Heres, (c) Germán Borda, (d) Víctor Hugo Viscarra",Rafael Fernández Heres
"¿Quién es el autor de la obra Pizarro, el marqués gobernador?; Responde con una de estas opciones: (a) Carlos Schlaen, (b) José Antonio del Busto, (c) Raúl Silva Castro, (d) Harry Almela",José Antonio del Busto
"¿Quién es el autor de la obra Fuera del aire?; Responde con una de estas opciones: (a) Marc Dourojeanni, (b) David Rosenmann-Taub, (c) Fernando Báez, (d) Leonardo Padrón",Leonardo Padrón
"¿Quién es el autor de la obra D'Escolar (Serie Impar)?; Responde con una de estas opciones: (a) Guillermo Ruiz Plaza, (b) Mario Benedetti, (c) Carmen Ollé, (d) Germán García",Germán García
"¿Quién es el autor de la obra inédito N° 46-47 de Martín Fierro de Homenaje a Güiraldes?; Responde con una de estas opciones: (a) Mauricio Bonnett, (b) Pablo Montoya, (c) Miguel Ángel Manrique, (d) Pedro Luis Barcia",Pedro Luis Barcia
"¿Quién es el autor de la obra El mirlo burlón?; Responde con una de estas opciones: (a) Alfonso Calderón, (b) Antonio Santos, (c) Eder Acosta Santacruz, (d) Pablo de Rokha",Alfonso Calderón
"¿Quién es el autor de la obra Factor Borges?; Responde con una de estas opciones: (a) María de la Luz Uribe, (b) Matías Calandrelli, (c) Alan Pauls, (d) Lucas Caballero Calderón",Alan Pauls
"¿Quién es el autor de la obra Los peligros de Paulina y otros cuentos selectos?; Responde con una de estas opciones: (a) Omar Pérez Santiago, (b) Salvador Garmendia, (c) Cristina Peri Rossi, (d) Miguel Mazzeo",Salvador Garmendia
"¿Quién es el autor de la obra Concierto?; Responde con una de estas opciones: (a) Edmundo Ribadeneira, (b) José María Torres Caicedo, (c) Hernán Rivera Letelier, (d) Gonzalo Rojas",Gonzalo Rojas
"¿Quién es el autor de la obra Del mito de Inkarrí al mito del progreso?; Responde con una de estas opciones: (a) Orlando Echeverri Benedetti, (b) Marco García Falcón, (c) Carlos Iván Degregori, (d) Fernando Báez",Carlos Iván Degregori
"¿Quién es el autor de la obra Desde el país de las sombras?; Responde con una de estas opciones: (a) César Miró, (b) Guillermo Morón, (c) Germán Marín, (d) Alberto Gálvez Olaechea",Alberto Gálvez Olaechea
"¿Quién es el autor de la obra El guerrero del crepúsculo?; Responde con una de estas opciones: (a) Alberto Laiseca, (b) Juan Octavio Prenz, (c) Hugo Burel, (d) Carlos Martini",Hugo Burel
"¿Quién es el autor de la obra Dictadura mediática en Venezuela?; Responde con una de estas opciones: (a) Washington Córdova Huamán, (b) Edgar Borges, (c) Luis Britto García, (d) Elmer Huerta",Luis Britto García
"¿Quién es el autor de la obra Conquista de Quince Mil Leguas?; Responde con una de estas opciones: (a) Estanislao Zeballos, (b) Ricardo González Vigil, (c) Jorge Eduardo Eielson, (d) Alfredo Veiravé",Estanislao Zeballos
"¿Quién es el autor de la obra Las manzanas del paraíso?; Responde con una de estas opciones: (a) Óscar Bustamante, (b) Jaime Ardila Casamitjana, (c) Ricardo Letts Colmenares, (d) Antenor Orrego",Jaime Ardila Casamitjana
"¿Quién es el autor de la obra La Revolucion Imposible?; Responde con una de estas opciones: (a) José Ángel Cuevas, (b) Juan Emar, (c) Diego Barros Arana, (d) Alfonso Lessa",Alfonso Lessa
"¿Quién es el autor de la obra Poemas ilustrados?; Responde con una de estas opciones: (a) Alfonso Reece, (b) Claudio Tolcachir, (c) Jesús Miguel Soto, (d) Juan Gustavo Cobo",Juan Gustavo Cobo
"¿Quién es el autor de la obra El Paso y La Espera?; Responde con una de estas opciones: (a) Mamerto Menapace, (b) Juana de Ibarbourou, (c) Luis Camnitzer, (d) Triunfo Arciniegas",Mamerto Menapace
"¿Quién es el autor de la obra Amor y plenitud en el absurdo viaje hacia la muerte?; Responde con una de estas opciones: (a) Tomás Barna, (b) Eugenio Espejo, (c) Winston Morales, (d) René Gastelumendi",Tomás Barna
"¿Quién es el autor de la obra La Tia Julia Y El Escribidor?; Responde con una de estas opciones: (a) Mario Vargas Llosa, (b) Germán García, (c) Luis Rey de Castro, (d) César Vallejo",Mario Vargas Llosa
"¿Quién es el autor de la obra Mundo Perdido (Spanish Edition)?; Responde con una de estas opciones: (a) Gustavo Aguilera, (b) Jorge Millas, (c) Juan Carlos Iragorri, (d) Héctor López Martínez",Gustavo Aguilera
"¿Quién es el autor de la obra La patria enferma?; Responde con una de estas opciones: (a) Hilda Mundy, (b) Hernando Calvo Ospina, (c) Luis Rey de Castro, (d) Omar López Mato",Omar López Mato
"¿Quién es el autor de la obra El país de la canela?; Responde con una de estas opciones: (a) Arturo Capdevila, (b) Denzil Romero, (c) Jaime Lavados, (d) William Ospina",William Ospina
"¿Quién es el autor de la obra Un joven en La Batalla?; Responde con una de estas opciones: (a) Manuel Rojas, (b) Fernando Denis, (c) Ludwig Zeller, (d) Mariano Gambier",Manuel Rojas
"¿Quién es el autor de la obra Mala Junta?; Responde con una de estas opciones: (a) Mario Paoletti, (b) Antonio García Ángel, (c) Gonzalo Leiva Quijada, (d) Elías Regules",Mario Paoletti
"¿Quién es el autor de la obra Guerra de mudos?; Responde con una de estas opciones: (a) Santiago Roncagliolo, (b) Jorge Altamira, (c) Carlos Iván Degregori, (d) Hugo Eduardo Herrera",Carlos Iván Degregori
"¿Quién es el autor de la obra Antologia Poetica - Elvio Romero?; Responde con una de estas opciones: (a) Eduardo Ferrero Costa, (b) Pepe Pelayo, (c) Elvio Romero, (d) Grínor Rojo",Elvio Romero
"¿Quién es el autor de la obra Pluma en ristre?; Responde con una de estas opciones: (a) José María Rivarola Matto, (b) Betina González, (c) Leonardo Castellani, (d) Gusti",Leonardo Castellani
"¿Quién es el autor de la obra Léxico del mate?; Responde con una de estas opciones: (a) Mabel Coronel Cuenca, (b) Daniel Vidart, (c) Pedro Luis Barcia, (d) César Aira",Pedro Luis Barcia
"¿Quién es el autor de la obra Historia de un encargo?; Responde con una de estas opciones: (a) Gustavo Guerrero, (b) Manolo Bellon, (c) José Arnaldo Márquez, (d) José María Rivarola Matto",Gustavo Guerrero
"¿Quién es el autor de la obra Los ojos deseados?; Responde con una de estas opciones: (a) Juan de Castellanos, (b) Eduardo Belgrano Rawson, (c) Reinaldo Bolívar, (d) Jorge Cadavid",Jorge Cadavid
"¿Quién es el autor de la obra BOQUITAS PINTADAS?; Responde con una de estas opciones: (a) Luis Pérez Aguirre, (b) Tabaré Arapí, (c) Manuel Puig, (d) Rafael de Nogales Méndez",Manuel Puig
"¿Quién es el autor de la obra La escritura sin tregua?; Responde con una de estas opciones: (a) Diego Paszkowski, (b) José Pérez Reyes, (c) Hugo Coya, (d) Hiber Conteris",Hiber Conteris
"¿Quién es el autor de la obra Engaño Populista?; Responde con una de estas opciones: (a) Luis Sabini, (b) Daniuska González, (c) Roberto Canessa, (d) Axel Kaiser",Axel Kaiser
"¿Quién es el autor de la obra Pintura en voz baja?; Responde con una de estas opciones: (a) Néstor Caballero, (b) Hugo Mujica, (c) Fernando Villalba, (d) Diamela Eltit",Hugo Mujica
"¿Quién es el autor de la obra Barril de Amontillado?; Responde con una de estas opciones: (a) Marco Aurelio Denegri, (b) Julio Cortázar, (c) Alfonso Carvajal, (d) Vicente Medina",Julio Cortázar
"¿Quién es el autor de la obra Juego y Aprendo 4 - Con El Grafico?; Responde con una de estas opciones: (a) Raúl Fortín, (b) Julio Díaz, (c) José de la Cuadra, (d) César Aira",Raúl Fortín
"¿Quién es el autor de la obra Tarde de invierno/Winter Afternoon?; Responde con una de estas opciones: (a) Jorge Salvador Lara, (b) Jorge Elías Luján, (c) Javier Sologuren, (d) Andrés Bello",Jorge Elías Luján
"¿Quién es el autor de la obra Guillermo Morón en la Academia Nacional de la Historia?; Responde con una de estas opciones: (a) César Aira, (b) Juan Calzadilla, (c) Mariano Caucino, (d) Guillermo Morón",Guillermo Morón
"¿Quién es el autor de la obra Cien años de Soledad (Edición de Regalo) / One Hundred Years of Solitude (Gift Edition)?; Responde con una de estas opciones: (a) Gustavo Pecoraro, (b) Reymi Ferreira, (c) Germán García, (d) Gabriel García Márquez ",Gabriel García Márquez 
"¿Quién es el autor de la obra Diez Teorias Que Conmovieron al Mundo?; Responde con una de estas opciones: (a) Alfonso Reece, (b) Óscar Contardo, (c) Leonardo Moledo, (d) Julián Padrón",Leonardo Moledo
"¿Quién es el autor de la obra La Casa Blanca?; Responde con una de estas opciones: (a) Alfredo Boccia Romañach, (b) Oswaldo de Rivero, (c) Ezio Neyra, (d) Helio Vera",Helio Vera
"¿Quién es el autor de la obra Autobiografia I?; Responde con una de estas opciones: (a) Victoria Ocampo, (b) Frank Agostino, (c) César Calvo, (d) Héctor Gros Espiell",Victoria Ocampo
"¿Quién es el autor de la obra Quién paga los muertos del once de Abril??; Responde con una de estas opciones: (a) Pablo da Silveira, (b) Jaime Álvarez Gutiérrez, (c) Carlos Juárez Aldazábal, (d) Domingo Alberto Rangel",Domingo Alberto Rangel
"¿Quién es el autor de la obra El vino rojo de las sílabas?; Responde con una de estas opciones: (a) Fernando Denis, (b) Martín Lasalt, (c) Daniel Colombo, (d) Fernando Villegas",Fernando Denis
"¿Quién es el autor de la obra Los ríos profundos?; Responde con una de estas opciones: (a) Eduardo Liendo, (b) Luis de Rodrigo, (c) Ticio Escobar, (d) José María Arguedas",José María Arguedas
"¿Quién es el autor de la obra K. O. P.P.K.?; Responde con una de estas opciones: (a) Antonio Cornejo Polar, (b) Marco Sifuentes, (c) Pablo Mackenna, (d) Juan de Castellanos",Marco Sifuentes
"¿Quién es el autor de la obra Obras escogidas?; Responde con una de estas opciones: (a) Juana de Ibarbourou, (b) Gabriel Jiménez Emán, (c) Juan Seoane, (d) Jorge Yacoman",Juana de Ibarbourou
"¿Quién es el autor de la obra Alfonsina Storni: Poesa?; Responde con una de estas opciones: (a) José Gobello, (b) Mario Paoletti, (c) Alfonsina Storni, (d) Ígor Barreto",Alfonsina Storni
"¿Quién es el autor de la obra Escepticismo, literatura y visualidad?; Responde con una de estas opciones: (a) Leonardo Padrón, (b) Jaime Poniachik, (c) Pablo Oyarzún, (d) Miguel Ángel Manrique",Pablo Oyarzún
"¿Quién es el autor de la obra Catequesis Yerbiadas VI - La Reconciliacion?; Responde con una de estas opciones: (a) Mamerto Menapace, (b) Gustavo Tarre Briceño, (c) Raúl Scalabrini Ortiz, (d) Alfredo Toro Hardy",Mamerto Menapace
"¿Quién es el autor de la obra Los Mejores Relatos Marinos?; Responde con una de estas opciones: (a) Horacio Quiroga, (b) Ida Vitale, (c) Germán Carrasco, (d) Juan Carlos Onetti",Horacio Quiroga
