question,type,expected_answer,model_answer,is_correct
¿De qué año es el libro Aaron's Rod?,P3,1954,1849,False
¿De qué año es el libro En man i huset?,P3,1978,1991,False
¿De qué año es el libro Martha Stewarts Quick Cook?,P3,1993,1973,False
¿De qué año es el libro Moth to a Flame?,P3,2019,2023,False
"¿De qué año es el libro ""Muse""?",P3,2004,2011,False
"¿De qué año es el libro Interior Castle, Large-Print Edition?",P3,2008,1531,False
¿De qué año es el libro Stop What You're Doing and Read This!?,P3,2011,2007,False
¿De qué año es el libro Tankarna?,P3,1994,2016,False
¿De qué año es el libro Argent (Illustré)?,P3,2017,1983,False
¿De qué año es el libro Krytyka cyničnoho rozumu?,P3,2002,1879,False
"¿De qué año es el libro Job, mon ami?",P3,1997,2018,False
¿De qué año es el libro Anima mundi?,P3,1997,1274,False
¿De qué año es el libro Firmes! (Espasa humor)?,P3,1994,2017,False
¿De qué año es el libro WER DEN WIND VERNIMMT?,P3,1981,1989,False
¿De qué año es el libro Loppans kvällsvard?,P3,1986,1998,False
¿De qué año es el libro Miau?,P3,2020,2018,False
¿De qué año es el libro Ver-rückte Zeiten?,P3,2001,1989,False
¿De qué año es el libro The war trilogy?,P3,1985,1979,False
¿De qué año es el libro Rua de nenhures?,P3,2013,2018,False
¿De qué año es el libro In the Land of Silence?,P3,2012,1998,False
¿De qué año es el libro Rallumer tous les soleils?,P3,2006,1989,False
¿De qué año es el libro Diese sehr ernsten Scherze?,P3,2007,1986,False
¿De qué año es el libro Rossellini?,P3,1973,1981,False
¿De qué año es el libro Markuse muutumised?,P3,1997,2019,False
¿De qué año es el libro Eine Lektion in Poesie wird vorbereitet?,P3,1998,2017,False
¿De qué año es el libro Bridget Jones. Mad About the Boy?,P3,2013,2001,False
¿De qué año es el libro El Angulo Del Horror?,P3,2002,1972,False
¿De qué año es el libro O pequeno livro do grande terramoto?,P3,2005,2003,False
Dime el género o el tópico principal del libro Monty Python's second film,P4,"Monty Python and the Holy Grail (Motion picture), Motion picture plays",Black Comedy,False
Dime el género o el tópico principal del libro Cultura e poder entre o Império e a República,P4,"History, Intellectual life",Historia política,False
Dime el género o el tópico principal del libro Ida e volta,P4,"Description and travel, Journeys, Portuguese Authors",Realismo.,True
Dime el género o el tópico principal del libro Labyrinth,P4,"Biography, Gay men, Homosexuality",Fantasy,False
Dime el género o el tópico principal del libro Museum und Öffentlichkeit,P4,Museum attendance,Sociology of Media,False
"Dime el género o el tópico principal del libro Home alone, The windows, The prompters: three plays by Dino Buzzati ; Wild boars at the forest's edge by Giuliano Scabia",P4,"Italian drama, Translations into English",Existentialism,False
Dime el género o el tópico principal del libro Francisco Rico,P4,"Critics, Onderscheidingen, Spanish literature",Filosofía del lenguaje,False
Dime el género o el tópico principal del libro The man who,P4,"Drama, Theater, Therapist and patient",Thriller,False
Dime el género o el tópico principal del libro Vom Wahren und Guten,P4,"Ethics, Philosophy",Filosofía Moral,False
Dime el género o el tópico principal del libro The Secret House of Death,P4,"Fiction, Fiction, mystery & detective, general, Townsend, susan (fictitious character), fiction",Horror,True
Dime el género o el tópico principal del libro Bridget Jones's guide to life,P4,"Bridget Jones (Fictitious character), English wit and humor",Romance,True
Dime el género o el tópico principal del libro La testa di Vitus Bering,P4,Fiction,Historical Fiction,True
Dime el género o el tópico principal del libro Diccionario Coll Del Siglo Xxi,P4,"Dictionaries, Humor, Spanish language",Lingüística,False
Dime el género o el tópico principal del libro وداعا ايتها السماء Goodbye Sky,P4,Arabic fiction,Drama,False
"Dime el género o el tópico principal del libro Kenya diary, 1902-1906",P4,"Description and travel, Kenya, description and travel",Travelogue,True
Dime el género o el tópico principal del libro Noldu ashemim,P4,"Children, National socialism, Psychological aspects",Fantasy,False
Dime el género o el tópico principal del libro Great short stories of the masters,P4,"American Short stories, Short stories, Translations into English",Short Stories,True
Dime el género o el tópico principal del libro Faith in a hard ground,P4,"Catholic Church, Christian ethics, Christianity",Historical Fiction,False
Dime el género o el tópico principal del libro Pianist's A-Z,P4,"Piano, Piano music",Music biography,False
Dime el género o el tópico principal del libro Polen und Deutschland in Europa,P4,"Karlspreis, Politicians, Politics and government",History,False
Dime el género o el tópico principal del libro Lecturas presocráticas,P4,"Ancient Philosophy, Filosofía Antigua, interpretación",Filosofía,False
Dime el género o el tópico principal del libro Ostatni papież,P4,"Assassination, Death and burial, Fiction",Historical Fiction,False
Dime el género o el tópico principal del libro L' homme qui regardait passer les trains,P4,"Fiction, Identity (Pyschology), Murder",Melancolía,True
Dime el género o el tópico principal del libro Vaya país,P4,"Foreign public opinion, Politics and government, Social life and customs",Realismo mágico,False
Dime el género o el tópico principal del libro Austro-Marxism : The Ideology of Unity. Volume II : Changing the World,P4,"Austria, politics and government, Socialism, Socialists",Political Theory,False
Dime el género o el tópico principal del libro Romanen om utvandrarna,P4,"Emigration and immigration, Fiction",Migración,False
Dime el género o el tópico principal del libro Arte Lancia,P4,"Art, Spanish, Spanish Art",Automovilismo,False
