Tipo de pregunta,pregunta,respuesta correcta,primer prompt,segundo prompt,score
P1,"¿Quién es el autor de la obra Amusa?; Responde con una de estas opciones: (a) Gonzalo Cammarota, (b) Rafael Cadenas, (c) Antonio Rocha, (d) Gloria Mendoza Borda",Gloria Mendoza Borda,,,0
P1,"¿Quién es el autor de la obra El pecado original?; Responde con una de estas opciones: (a) Emilio Mignone, (b) Alfonso Lessa, (c) Félix Coluccio, (d) Claudia Piñeiro",Alfonso Lessa,,,1
P1,"¿Quién es el autor de la obra El novato?; Responde con una de estas opciones: (a) Osvaldo Aguirre, (b) Álvaro Diez de Medina, (c) Enrique Congrains, (d) Arturo Capdevila",Osvaldo Aguirre,,,0
P1,"¿Quién es el autor de la obra Poco Hombre?; Responde con una de estas opciones: (a) José Domingo Díaz, (b) Enrique Congrains, (c) Pedro Lemebel, (d) Miguel Ángel Morelli",Pedro Lemebel,,,0
P1,"¿Quién es el autor de la obra La expulsión del paraíso?; Responde con una de estas opciones: (a) Enrique Rocha Monroy, (b) Hernán Rodríguez Castelo, (c) Javier Zamudio, (d) Rafo León",Rafo León,,,0
P1,"¿Quién es el autor de la obra Azar?; Responde con una de estas opciones: (a) Lucas García, (b) William Ospina, (c) Gustavo San Román, (d) Juan Oropeza",William Ospina,,,1
P1,"¿Quién es el autor de la obra Atrapados - 3 Tomos?; Responde con una de estas opciones: (a) Oldman Botello, (b) Jorge Icaza, (c) Óscar Pantoja, (d) Wafi Salih",Jorge Icaza,,,0
P1,"¿Quién es el autor de la obra Dos fantasías memorables ; Un modelo para la muerte?; Responde con una de estas opciones: (a) Eder Acosta Santacruz, (b) Adolfo Bioy Casares, (c) Alejandro Peralta, (d) Diego Valverde Villena",Adolfo Bioy Casares,,,1
P1,"¿Quién es el autor de la obra El beso de la mujer araña?; Responde con una de estas opciones: (a) Leopoldo Castedo, (b) Manuel Puig, (c) Juan Oddone, (d) Germán García",Manuel Puig,,,1
P1,"¿Quién es el autor de la obra Trilce?; Responde con una de estas opciones: (a) Edgar Borges, (b) César Vallejo, (c) Alejandro Zambra, (d) Demetrio Aguilera Malta",César Vallejo,,,1
P1,"¿Quién es el autor de la obra Los alegres desahuciados?; Responde con una de estas opciones: (a) Andrés Mariño Palacio, (b) Marcos Llemes, (c) Fernando Gerbasi, (d) Eduardo Alvariza",Andrés Mariño Palacio,,,1
P1,"¿Quién es el autor de la obra Venezuela?; Responde con una de estas opciones: (a) Luis Britto García, (b) Ricardo González Vigil, (c) Héctor Mora, (d) Hugo Foguet",Luis Britto García,,,1
P1,"¿Quién es el autor de la obra Las iniciales del tiempo?; Responde con una de estas opciones: (a) Daniuska González, (b) Eustaquio Palacios, (c) René Dávalos, (d) Tito Matamala",Daniuska González,,,1
P1,"¿Quién es el autor de la obra Faros del Uruguay?; Responde con una de estas opciones: (a) José Miguel Ibáñez Langlois, (b) Juan Antonio Varese, (c) Juan Oropeza, (d) Claudio Paolillo",Juan Antonio Varese,,,0
P1,"¿Quién es el autor de la obra Prontuario de folklore literario venezolano?; Responde con una de estas opciones: (a) José Toribio Medina, (b) Gustavo Luis Carrera, (c) Fernando Amado, (d) Isaac Pardo",Gustavo Luis Carrera,,,1
P1,"¿Quién es el autor de la obra Cualquiercosario?; Responde con una de estas opciones: (a) Manuel Baldomero Ugarte, (b) Jacinto Ventura de Molina, (c) Gustavo Wojciechowski, (d) César Rivas Lara",Gustavo Wojciechowski,,,0
P1,"¿Quién es el autor de la obra Asesinato en la gran ciudad del Cuzco?; Responde con una de estas opciones: (a) Telmo Herrera, (b) Luis Nieto Degregori, (c) Luis Vidales, (d) Washington Córdova Huamán",Luis Nieto Degregori,,,1
P1,"¿Quién es el autor de la obra La oscuridad menos reciente?; Responde con una de estas opciones: (a) Alberto Flores Galindo, (b) Ricardo Prieto, (c) Damián González Bertolino, (d) Felipe Pigna",Ricardo Prieto,,,0
P1,"¿Quién es el autor de la obra Nino, el rey de todo el mundo?; Responde con una de estas opciones: (a) Luis Enrique Fierro, (b) Gusti, (c) Isabel Allende, (d) David Rosenmann-Taub",Gusti,,,0
P1,"¿Quién es el autor de la obra Ideas y conflictos en la educación venezolana?; Responde con una de estas opciones: (a) Jaime Antúnez Aldunate, (b) Rafael Fernández Heres, (c) Germán Borda, (d) Víctor Hugo Viscarra",Rafael Fernández Heres,,,0
P1,"¿Quién es el autor de la obra Pizarro, el marqués gobernador?; Responde con una de estas opciones: (a) Carlos Schlaen, (b) José Antonio del Busto, (c) Raúl Silva Castro, (d) Harry Almela",José Antonio del Busto,,,0
P1,"¿Quién es el autor de la obra Fuera del aire?; Responde con una de estas opciones: (a) Marc Dourojeanni, (b) David Rosenmann-Taub, (c) Fernando Báez, (d) Leonardo Padrón",Leonardo Padrón,,,0
P1,"¿Quién es el autor de la obra D'Escolar (Serie Impar)?; Responde con una de estas opciones: (a) Guillermo Ruiz Plaza, (b) Mario Benedetti, (c) Carmen Ollé, (d) Germán García",Germán García,,,0
P1,"¿Quién es el autor de la obra inédito N° 46-47 de Martín Fierro de Homenaje a Güiraldes?; Responde con una de estas opciones: (a) Mauricio Bonnett, (b) Pablo Montoya, (c) Miguel Ángel Manrique, (d) Pedro Luis Barcia",Pedro Luis Barcia,,,0
P1,"¿Quién es el autor de la obra El mirlo burlón?; Responde con una de estas opciones: (a) Alfonso Calderón, (b) Antonio Santos, (c) Eder Acosta Santacruz, (d) Pablo de Rokha",Alfonso Calderón,,,1
P1,"¿Quién es el autor de la obra Factor Borges?; Responde con una de estas opciones: (a) María de la Luz Uribe, (b) Matías Calandrelli, (c) Alan Pauls, (d) Lucas Caballero Calderón",Alan Pauls,,,0
P1,"¿Quién es el autor de la obra Los peligros de Paulina y otros cuentos selectos?; Responde con una de estas opciones: (a) Omar Pérez Santiago, (b) Salvador Garmendia, (c) Cristina Peri Rossi, (d) Miguel Mazzeo",Salvador Garmendia,,,0
P1,"¿Quién es el autor de la obra Concierto?; Responde con una de estas opciones: (a) Edmundo Ribadeneira, (b) José María Torres Caicedo, (c) Hernán Rivera Letelier, (d) Gonzalo Rojas",Gonzalo Rojas,,,0
P1,"¿Quién es el autor de la obra Del mito de Inkarrí al mito del progreso?; Responde con una de estas opciones: (a) Orlando Echeverri Benedetti, (b) Marco García Falcón, (c) Carlos Iván Degregori, (d) Fernando Báez",Carlos Iván Degregori,,,1
P1,"¿Quién es el autor de la obra Desde el país de las sombras?; Responde con una de estas opciones: (a) César Miró, (b) Guillermo Morón, (c) Germán Marín, (d) Alberto Gálvez Olaechea",Alberto Gálvez Olaechea,,,0
P1,"¿Quién es el autor de la obra El guerrero del crepúsculo?; Responde con una de estas opciones: (a) Alberto Laiseca, (b) Juan Octavio Prenz, (c) Hugo Burel, (d) Carlos Martini",Hugo Burel,,,0
P1,"¿Quién es el autor de la obra Dictadura mediática en Venezuela?; Responde con una de estas opciones: (a) Washington Córdova Huamán, (b) Edgar Borges, (c) Luis Britto García, (d) Elmer Huerta",Luis Britto García,,,0
P1,"¿Quién es el autor de la obra Conquista de Quince Mil Leguas?; Responde con una de estas opciones: (a) Estanislao Zeballos, (b) Ricardo González Vigil, (c) Jorge Eduardo Eielson, (d) Alfredo Veiravé",Estanislao Zeballos,,,0
P1,"¿Quién es el autor de la obra Las manzanas del paraíso?; Responde con una de estas opciones: (a) Óscar Bustamante, (b) Jaime Ardila Casamitjana, (c) Ricardo Letts Colmenares, (d) Antenor Orrego",Jaime Ardila Casamitjana,,,1
P1,"¿Quién es el autor de la obra La Revolucion Imposible?; Responde con una de estas opciones: (a) José Ángel Cuevas, (b) Juan Emar, (c) Diego Barros Arana, (d) Alfonso Lessa",Alfonso Lessa,,,0
P1,"¿Quién es el autor de la obra Poemas ilustrados?; Responde con una de estas opciones: (a) Alfonso Reece, (b) Claudio Tolcachir, (c) Jesús Miguel Soto, (d) Juan Gustavo Cobo",Juan Gustavo Cobo,,,0
P1,"¿Quién es el autor de la obra El Paso y La Espera?; Responde con una de estas opciones: (a) Mamerto Menapace, (b) Juana de Ibarbourou, (c) Luis Camnitzer, (d) Triunfo Arciniegas",Mamerto Menapace,,,0
P1,"¿Quién es el autor de la obra Amor y plenitud en el absurdo viaje hacia la muerte?; Responde con una de estas opciones: (a) Tomás Barna, (b) Eugenio Espejo, (c) Winston Morales, (d) René Gastelumendi",Tomás Barna,,,0
P1,"¿Quién es el autor de la obra La Tia Julia Y El Escribidor?; Responde con una de estas opciones: (a) Mario Vargas Llosa, (b) Germán García, (c) Luis Rey de Castro, (d) César Vallejo",Mario Vargas Llosa,,,0
P1,"¿Quién es el autor de la obra Mundo Perdido (Spanish Edition)?; Responde con una de estas opciones: (a) Gustavo Aguilera, (b) Jorge Millas, (c) Juan Carlos Iragorri, (d) Héctor López Martínez",Gustavo Aguilera,,,0
P1,"¿Quién es el autor de la obra La patria enferma?; Responde con una de estas opciones: (a) Hilda Mundy, (b) Hernando Calvo Ospina, (c) Luis Rey de Castro, (d) Omar López Mato",Omar López Mato,,,0
P1,"¿Quién es el autor de la obra El país de la canela?; Responde con una de estas opciones: (a) Arturo Capdevila, (b) Denzil Romero, (c) Jaime Lavados, (d) William Ospina",William Ospina,,,0
P1,"¿Quién es el autor de la obra Un joven en La Batalla?; Responde con una de estas opciones: (a) Manuel Rojas, (b) Fernando Denis, (c) Ludwig Zeller, (d) Mariano Gambier",Manuel Rojas,,,0
P1,"¿Quién es el autor de la obra Mala Junta?; Responde con una de estas opciones: (a) Mario Paoletti, (b) Antonio García Ángel, (c) Gonzalo Leiva Quijada, (d) Elías Regules",Mario Paoletti,,,1
P1,"¿Quién es el autor de la obra Guerra de mudos?; Responde con una de estas opciones: (a) Santiago Roncagliolo, (b) Jorge Altamira, (c) Carlos Iván Degregori, (d) Hugo Eduardo Herrera",Carlos Iván Degregori,,,0
P1,"¿Quién es el autor de la obra Antologia Poetica - Elvio Romero?; Responde con una de estas opciones: (a) Eduardo Ferrero Costa, (b) Pepe Pelayo, (c) Elvio Romero, (d) Grínor Rojo",Elvio Romero,,,1
P1,"¿Quién es el autor de la obra Pluma en ristre?; Responde con una de estas opciones: (a) José María Rivarola Matto, (b) Betina González, (c) Leonardo Castellani, (d) Gusti",Leonardo Castellani,,,0
P1,"¿Quién es el autor de la obra Léxico del mate?; Responde con una de estas opciones: (a) Mabel Coronel Cuenca, (b) Daniel Vidart, (c) Pedro Luis Barcia, (d) César Aira",Pedro Luis Barcia,,,0
P1,"¿Quién es el autor de la obra Historia de un encargo?; Responde con una de estas opciones: (a) Gustavo Guerrero, (b) Manolo Bellon, (c) José Arnaldo Márquez, (d) José María Rivarola Matto",Gustavo Guerrero,,,1
P1,"¿Quién es el autor de la obra Los ojos deseados?; Responde con una de estas opciones: (a) Juan de Castellanos, (b) Eduardo Belgrano Rawson, (c) Reinaldo Bolívar, (d) Jorge Cadavid",Jorge Cadavid,,,0
P1,"¿Quién es el autor de la obra BOQUITAS PINTADAS?; Responde con una de estas opciones: (a) Luis Pérez Aguirre, (b) Tabaré Arapí, (c) Manuel Puig, (d) Rafael de Nogales Méndez",Manuel Puig,,,0
P1,"¿Quién es el autor de la obra La escritura sin tregua?; Responde con una de estas opciones: (a) Diego Paszkowski, (b) José Pérez Reyes, (c) Hugo Coya, (d) Hiber Conteris",Hiber Conteris,,,0
P1,"¿Quién es el autor de la obra Engaño Populista?; Responde con una de estas opciones: (a) Luis Sabini, (b) Daniuska González, (c) Roberto Canessa, (d) Axel Kaiser",Axel Kaiser,,,0
P1,"¿Quién es el autor de la obra Pintura en voz baja?; Responde con una de estas opciones: (a) Néstor Caballero, (b) Hugo Mujica, (c) Fernando Villalba, (d) Diamela Eltit",Hugo Mujica,,,1
P1,"¿Quién es el autor de la obra Barril de Amontillado?; Responde con una de estas opciones: (a) Marco Aurelio Denegri, (b) Julio Cortázar, (c) Alfonso Carvajal, (d) Vicente Medina",Julio Cortázar,,,0
P1,"¿Quién es el autor de la obra Juego y Aprendo 4 - Con El Grafico?; Responde con una de estas opciones: (a) Raúl Fortín, (b) Julio Díaz, (c) José de la Cuadra, (d) César Aira",Raúl Fortín,,,1
P1,"¿Quién es el autor de la obra Tarde de invierno/Winter Afternoon?; Responde con una de estas opciones: (a) Jorge Salvador Lara, (b) Jorge Elías Luján, (c) Javier Sologuren, (d) Andrés Bello",Jorge Elías Luján,,,0
P1,"¿Quién es el autor de la obra Guillermo Morón en la Academia Nacional de la Historia?; Responde con una de estas opciones: (a) César Aira, (b) Juan Calzadilla, (c) Mariano Caucino, (d) Guillermo Morón",Guillermo Morón,,,1
P1,"¿Quién es el autor de la obra Cien años de Soledad (Edición de Regalo) / One Hundred Years of Solitude (Gift Edition)?; Responde con una de estas opciones: (a) Gustavo Pecoraro, (b) Reymi Ferreira, (c) Germán García, (d) Gabriel García Márquez ",Gabriel García Márquez ,,,0
P1,"¿Quién es el autor de la obra Diez Teorias Que Conmovieron al Mundo?; Responde con una de estas opciones: (a) Alfonso Reece, (b) Óscar Contardo, (c) Leonardo Moledo, (d) Julián Padrón",Leonardo Moledo,,,0
P1,"¿Quién es el autor de la obra La Casa Blanca?; Responde con una de estas opciones: (a) Alfredo Boccia Romañach, (b) Oswaldo de Rivero, (c) Ezio Neyra, (d) Helio Vera",Helio Vera,,,0
P1,"¿Quién es el autor de la obra Autobiografia I?; Responde con una de estas opciones: (a) Victoria Ocampo, (b) Frank Agostino, (c) César Calvo, (d) Héctor Gros Espiell",Victoria Ocampo,,,1
P1,"¿Quién es el autor de la obra Quién paga los muertos del once de Abril??; Responde con una de estas opciones: (a) Pablo da Silveira, (b) Jaime Álvarez Gutiérrez, (c) Carlos Juárez Aldazábal, (d) Domingo Alberto Rangel",Domingo Alberto Rangel,,,0
P1,"¿Quién es el autor de la obra El vino rojo de las sílabas?; Responde con una de estas opciones: (a) Fernando Denis, (b) Martín Lasalt, (c) Daniel Colombo, (d) Fernando Villegas",Fernando Denis,,,1
P1,"¿Quién es el autor de la obra Los ríos profundos?; Responde con una de estas opciones: (a) Eduardo Liendo, (b) Luis de Rodrigo, (c) Ticio Escobar, (d) José María Arguedas",José María Arguedas,,,0
P1,"¿Quién es el autor de la obra K. O. P.P.K.?; Responde con una de estas opciones: (a) Antonio Cornejo Polar, (b) Marco Sifuentes, (c) Pablo Mackenna, (d) Juan de Castellanos",Marco Sifuentes,,,0
P1,"¿Quién es el autor de la obra Obras escogidas?; Responde con una de estas opciones: (a) Juana de Ibarbourou, (b) Gabriel Jiménez Emán, (c) Juan Seoane, (d) Jorge Yacoman",Juana de Ibarbourou,,,0
P1,"¿Quién es el autor de la obra Alfonsina Storni: Poesa?; Responde con una de estas opciones: (a) José Gobello, (b) Mario Paoletti, (c) Alfonsina Storni, (d) Ígor Barreto",Alfonsina Storni,,,1
P1,"¿Quién es el autor de la obra Escepticismo, literatura y visualidad?; Responde con una de estas opciones: (a) Leonardo Padrón, (b) Jaime Poniachik, (c) Pablo Oyarzún, (d) Miguel Ángel Manrique",Pablo Oyarzún,,,0
P1,"¿Quién es el autor de la obra Catequesis Yerbiadas VI - La Reconciliacion?; Responde con una de estas opciones: (a) Mamerto Menapace, (b) Gustavo Tarre Briceño, (c) Raúl Scalabrini Ortiz, (d) Alfredo Toro Hardy",Mamerto Menapace,,,1
P1,"¿Quién es el autor de la obra Los Mejores Relatos Marinos?; Responde con una de estas opciones: (a) Horacio Quiroga, (b) Ida Vitale, (c) Germán Carrasco, (d) Juan Carlos Onetti",Horacio Quiroga,,,0
P2,De qué país es el autor de la obra Selección de centenario?,Colombia,,,0
P2,De qué país es el autor de la obra Nux vómica?,Ecuador,,,0
P2,De qué país es el autor de la obra El Chile que no queremos?,Chile,,,1
P2,De qué país es el autor de la obra Crónicas casi históricas?,Colombia,,,0
P2,De qué país es el autor de la obra Javier Viveros?,Paraguay,,,0
P2,De qué país es el autor de la obra Historia de un encargo?,Venezuela,,,0
P2,De qué país es el autor de la obra Otros septiembres?,Chile,,,0
P2,De qué país es el autor de la obra Ceremonia comentada?,Peru,,,0
P2,De qué país es el autor de la obra Aquellos Tiempos Con Gabo?,Colombia,,,0
P2,De qué país es el autor de la obra De náufrago a pionero?,Uruguay,,,0
P2,De qué país es el autor de la obra Morir Es Volver a Casa?,Uruguay,,,0
P2,De qué país es el autor de la obra Antologia Personal?,Colombia,,,0
P2,De qué país es el autor de la obra Manual de esgrima para elefantes?,Paraguay,,,0
P2,De qué país es el autor de la obra San Anto?ito - 1. edicion?,Colombia,,,0
P2,De qué país es el autor de la obra Reforma al sistema penal y carcelario en Uruguay?,Uruguay,,,1
P2,De qué país es el autor de la obra Segundo Anillo de Poder?,Uruguay,,,0
P2,De qué país es el autor de la obra El drama sin atenuantes?,Argentina,,,0
P2,De qué país es el autor de la obra Antes del Requiem?,Argentina,,,0
P2,"De qué país es el autor de la obra Vida, toma mi mano?",Chile,,,0
P2,"De qué país es el autor de la obra Colombia, laboratorio de embrujos?",Colombia,,,1
P2,De qué país es el autor de la obra Inmovilidad De Los Barcos (Coleccion Poesia # 73)?,Uruguay,,,0
P2,De qué país es el autor de la obra El terror argentino?,Paraguay,,,0
P2,De qué país es el autor de la obra Los diez mejores cuentos de la literatura boliviana?,Bolivia,,,1
P2,De qué país es el autor de la obra Solo de saxo?,Chile,,,0
P2,De qué país es el autor de la obra Catequesis Yerbiadas I?,Argentina,,,1
P2,De qué país es el autor de la obra Versos teatrales?,Chile,,,0
P2,De qué país es el autor de la obra Ka'i rembihasakue =?,Paraguay,,,0
P2,De qué país es el autor de la obra Nicolás aprende los números?,Colombia,,,0
P2,De qué país es el autor de la obra Pocitos?,Uruguay,,,0
P2,De qué país es el autor de la obra Iglesia y Dictadura?,Argentina,,,1
P2,De qué país es el autor de la obra Mujeres Argentinas/argentinian's Women?,Argentina,,,1
P2,De qué país es el autor de la obra Dona Pinones?,Chile,,,0
P2,"De qué país es el autor de la obra Mensajeros del cosmos, Una Puerta hacia las Estrellas?",Peru,,,0
P2,De qué país es el autor de la obra La casa de la poesía?,Chile,,,0
P2,De qué país es el autor de la obra Historia de Quito?,Ecuador,,,0
P2,De qué país es el autor de la obra Fundacion Bigott 30 años?,Venezuela,,,0
P2,De qué país es el autor de la obra Érase mi alma?,Colombia,,,0
P2,De qué país es el autor de la obra 1877?,Bolivia,,,0
P2,De qué país es el autor de la obra Juan Pedro López?,Uruguay,,,0
P2,De qué país es el autor de la obra Zürich es una letra álef?,Colombia,,,0
P2,De qué país es el autor de la obra El atravesado?,Colombia,,,0
P2,De qué país es el autor de la obra Gracia y el forastero?,Chile,,,0
P2,De qué país es el autor de la obra El joven Bolívar?,Venezuela,,,1
P2,De qué país es el autor de la obra Helarte De Amar / Freeze from Loving?,Peru,,,0
P2,De qué país es el autor de la obra ADES?,Uruguay,,,0
P2,De qué país es el autor de la obra Carnaval de coplas cajamarquinas?,Peru,,,0
P2,De qué país es el autor de la obra Un oscuro pedazo de vida?,Chile,,,0
P2,De qué país es el autor de la obra El arte de leer a Garc©Ưa M©Łrquez?,Colombia,,,1
P2,De qué país es el autor de la obra Sociologia de la Religion (Spanish Edition)?,Uruguay,,,0
P2,De qué país es el autor de la obra Propósito Eterno de Dios para Mi Vida?,Uruguay,,,0
P2,De qué país es el autor de la obra La Esposa Del Dr. Thorne?,Venezuela,,,0
P2,De qué país es el autor de la obra Gloria de la Cruz?,Venezuela,,,0
P2,De qué país es el autor de la obra Patíbulo para un caballo?,Peru,,,0
P2,De qué país es el autor de la obra El auto?,Uruguay,,,0
P2,De qué país es el autor de la obra Relatos?,Venezuela,,,0
P2,De qué país es el autor de la obra Vida Breve (Edición Conmemorativa de la RAE y la ASALE) / a Brief Life?,Uruguay,,,0
P2,De qué país es el autor de la obra Billie Ruth?,Bolivia,,,0
P2,De qué país es el autor de la obra Los intensos goces de la escritura?,Argentina,,,1
P2,De qué país es el autor de la obra Cañuela y petaca y otros cuentos?,Chile,,,0
P2,De qué país es el autor de la obra Discurso de Ingreso en la Academia Boliviana de la Lengua?,Bolivia,,,1
P2,De qué país es el autor de la obra El lenguaje de los diablos?,Venezuela,,,0
P2,De qué país es el autor de la obra Diario de Santa María?,Peru,,,0
P2,De qué país es el autor de la obra Consecuencias económicas del proceso de independencia en Colombia?,Colombia,,,0
P2,"De qué país es el autor de la obra Sitio de Kelany, El?",Argentina,,,0
P2,De qué país es el autor de la obra Poder popular y nación?,Argentina,,,0
P2,De qué país es el autor de la obra Pobreza Espiritual Voluntaria?,Colombia,,,0
P2,"De qué país es el autor de la obra Caso del Video Juego, El?",Argentina,,,0
P2,De qué país es el autor de la obra Persona?,Uruguay,,,0
P2,De qué país es el autor de la obra Muerte de Sevilla en Madrid?,Peru,,,0
P2,De qué país es el autor de la obra Papeles de viento?,Peru,,,0
P2,De qué país es el autor de la obra Las Encantadas?,Argentina,,,0
P2,De qué país es el autor de la obra Nada se pierde con vivir?,Chile,,,0
P2,De qué país es el autor de la obra Diálogos del porvenir?,Chile,,,0
P2,De qué país es el autor de la obra El dedo de David Lynch?,Venezuela,,,0
P2,De qué país es el autor de la obra El náufrago de la santa?,Peru,,,0
P2,De qué país es el autor de la obra Bilbao y el hallazgo de América Latina?,Chile,,,0
